industry	category	name	domain	source	dataset
arts_recreation	tourism_tichk_travel_agent	IMPERIAL HOT SPRING INTERNATIONAL RESORT MANAGEMENT (HOLDINGS) LTD	0080.com.cn	Travel Industry Council of Hong Kong (TIC) - Member Travel Agents	tichk-travel-agents.tsv
arts_recreation	tourism_tichk_travel_agent	GUANGZHOU HONG KONG COACH TOUR SERVICE LIMITED	126.com	Travel Industry Council of Hong Kong (TIC) - Member Travel Agents	tichk-travel-agents.tsv
arts_recreation	tourism_tichk_travel_agent	AITRIP HONG KONG INTERNATIONAL TRAVEL SERVICE LIMITED	163.com	Travel Industry Council of Hong Kong (TIC) - Member Travel Agents	tichk-travel-agents.tsv
arts_recreation	tourism_tichk_travel_agent	SINOWAY (CHINA) LIMITED	168zght.com	Travel Industry Council of Hong Kong (TIC) - Member Travel Agents	tichk-travel-agents.tsv
arts_recreation	tourism_tichk_travel_agent	18 TRAVEL LIMITED	18travel.com.hk	Travel Industry Council of Hong Kong (TIC) - Member Travel Agents	tichk-travel-agents.tsv
arts_recreation	tourism_tichk_travel_agent	PURPLE TRAVEL AND TOURS CO., LIMITED	27808111.com	Travel Industry Council of Hong Kong (TIC) - Member Travel Agents	tichk-travel-agents.tsv
arts_recreation	tourism_tichk_travel_agent	ASEAN LINK MARKETING LIMITED	29261668.com	Travel Industry Council of Hong Kong (TIC) - Member Travel Agents	tichk-travel-agents.tsv
arts_recreation	tourism_tichk_travel_agent	360 PRIVATE TRAVEL LIMITED	360privatetravel.com	Travel Industry Council of Hong Kong (TIC) - Member Travel Agents	tichk-travel-agents.tsv
arts_recreation	tourism_tichk_travel_agent	OVERSEA PROPERTY TOUR LIMITED	3overseatour.com	Travel Industry Council of Hong Kong (TIC) - Member Travel Agents	tichk-travel-agents.tsv
arts_recreation	tourism_tichk_travel_agent	T.T.T. (HK) LIMITED	3ttravel.com	Travel Industry Council of Hong Kong (TIC) - Member Travel Agents	tichk-travel-agents.tsv
arts_recreation	tourism_tichk_travel_agent	517NA TRAVEL AGENCY (HK) LIMITED	517na.com	Travel Industry Council of Hong Kong (TIC) - Member Travel Agents	tichk-travel-agents.tsv
arts_recreation	tourism_tichk_travel_agent	GRAND CHIEF LIMITED	51smart.com	Travel Industry Council of Hong Kong (TIC) - Member Travel Agents	tichk-travel-agents.tsv
arts_recreation	tourism_tichk_travel_agent	TRAVEL INN LIMITED	5555.com.hk	Travel Industry Council of Hong Kong (TIC) - Member Travel Agents	tichk-travel-agents.tsv
arts_recreation	tourism_tichk_travel_agent	EDMOND TRAVEL LIMITED	66.hk	Travel Industry Council of Hong Kong (TIC) - Member Travel Agents	tichk-travel-agents.tsv
arts_recreation	tourism_tichk_travel_agent	ROING INTERNATIONAL TRAVEL SERVICES LIMITED	852call.com	Travel Industry Council of Hong Kong (TIC) - Member Travel Agents	tichk-travel-agents.tsv
arts_recreation	tourism_tichk_travel_agent	A-ONE SIGHTSEEING LTD	a-onesightseeing.com	Travel Industry Council of Hong Kong (TIC) - Member Travel Agents	tichk-travel-agents.tsv
arts_recreation	tourism_tichk_travel_agent	A-SENSE TRAVEL LIMITED	a-sensetravel.com	Travel Industry Council of Hong Kong (TIC) - Member Travel Agents	tichk-travel-agents.tsv
arts_recreation	tourism_tichk_travel_agent	ABC TRAVEL AGENCY CO LTD	abctravel.hk	Travel Industry Council of Hong Kong (TIC) - Member Travel Agents	tichk-travel-agents.tsv
arts_recreation	tourism_tichk_travel_agent	ABERCROMBIE &amp; KENT (HONG KONG) LIMITED	abercrombiekent.com.hk	Travel Industry Council of Hong Kong (TIC) - Member Travel Agents	tichk-travel-agents.tsv
arts_recreation	tourism_tichk_travel_agent	AMSALEM BUSINESS TRAVEL (HONG KONG) LIMITED	abt-global.com	Travel Industry Council of Hong Kong (TIC) - Member Travel Agents	tichk-travel-agents.tsv
arts_recreation	tourism_tichk_travel_agent	AMSALEM BUSINESS TRAVEL (HONG KONG) LIMITED	abt-hkg.com	Travel Industry Council of Hong Kong (TIC) - Member Travel Agents	tichk-travel-agents.tsv
arts_recreation	tourism_tichk_travel_agent	ACCORD TRAVEL LIMITED	accordtravelltd.com	Travel Industry Council of Hong Kong (TIC) - Member Travel Agents	tichk-travel-agents.tsv
arts_recreation	tourism_tichk_travel_agent	ACHIEVER WORLD TRAVEL SERVICES LIMITED	achieverworld.com.hk	Travel Industry Council of Hong Kong (TIC) - Member Travel Agents	tichk-travel-agents.tsv
arts_recreation	tourism_tichk_travel_agent	ADAM TRAVEL SERVICE LIMITED	adamtravelagency.net	Travel Industry Council of Hong Kong (TIC) - Member Travel Agents	tichk-travel-agents.tsv
arts_recreation	tourism_tichk_travel_agent	LUCKY DRAGON ENTERPRISES LIMITED	admiral-travel.com.hk	Travel Industry Council of Hong Kong (TIC) - Member Travel Agents	tichk-travel-agents.tsv
arts_recreation	tourism_tichk_travel_agent	INTERNATIONAL STUDENT EXCHANGE CENTRE LIMITED	aea.org.hk	Travel Industry Council of Hong Kong (TIC) - Member Travel Agents	tichk-travel-agents.tsv
arts_recreation	tourism_tichk_travel_agent	AMERICAN EXPRESS TLS HK LIMITED	aexp.com	Travel Industry Council of Hong Kong (TIC) - Member Travel Agents	tichk-travel-agents.tsv
arts_recreation	tourism_tichk_travel_agent	AIR CHINA DEVELOPMENT CORPORATION (HONG KONG) LIMITED	airchina.com	Travel Industry Council of Hong Kong (TIC) - Member Travel Agents	tichk-travel-agents.tsv
arts_recreation	tourism_tichk_travel_agent	INSTANT TRAVEL SERVICE LTD	airticket.com.hk	Travel Industry Council of Hong Kong (TIC) - Member Travel Agents	tichk-travel-agents.tsv
arts_recreation	tourism_tichk_travel_agent	INSTANT TRAVEL SERVICE LTD	airticket.hk	Travel Industry Council of Hong Kong (TIC) - Member Travel Agents	tichk-travel-agents.tsv
arts_recreation	tourism_tichk_travel_agent	ALBERT FISH LIMITED	albert-fish.com	Travel Industry Council of Hong Kong (TIC) - Member Travel Agents	tichk-travel-agents.tsv
arts_recreation	tourism_tichk_travel_agent	ALBERT FISH LIMITED	albert660.com	Travel Industry Council of Hong Kong (TIC) - Member Travel Agents	tichk-travel-agents.tsv
arts_recreation	tourism_tichk_travel_agent	ALIBABA HOLIDAY LIMITED	ali.com.hk	Travel Industry Council of Hong Kong (TIC) - Member Travel Agents	tichk-travel-agents.tsv
arts_recreation	tourism_tichk_travel_agent	ALLIED EXPRESS TRAVEL LTD	alliedexpresstravel.com	Travel Industry Council of Hong Kong (TIC) - Member Travel Agents	tichk-travel-agents.tsv
arts_recreation	tourism_tichk_travel_agent	ALL TRAVEL LTD	alltravel.com.hk	Travel Industry Council of Hong Kong (TIC) - Member Travel Agents	tichk-travel-agents.tsv
arts_recreation	tourism_tichk_travel_agent	ALL U TRAVEL (HK) LIMITED	allu.com.hk	Travel Industry Council of Hong Kong (TIC) - Member Travel Agents	tichk-travel-agents.tsv
arts_recreation	tourism_tichk_travel_agent	ALPHA TRAVEL (HK) LIMITED	alphahongkong.com	Travel Industry Council of Hong Kong (TIC) - Member Travel Agents	tichk-travel-agents.tsv
arts_recreation	tourism_tichk_travel_agent	BCTS TRAVEL SERVICE HONG KONG CO., LIMITED	alpharight.com.hk	Travel Industry Council of Hong Kong (TIC) - Member Travel Agents	tichk-travel-agents.tsv
arts_recreation	tourism_tichk_travel_agent	ALPINE ADVENTURE TRAVEL LIMITED	alpineadventuretravel.com.hk	Travel Industry Council of Hong Kong (TIC) - Member Travel Agents	tichk-travel-agents.tsv
arts_recreation	tourism_tichk_travel_agent	HAPI TRAVEL LIMITED	alsetinternational.com	Travel Industry Council of Hong Kong (TIC) - Member Travel Agents	tichk-travel-agents.tsv
arts_recreation	tourism_tichk_travel_agent	ALTERNATIVE TRAVEL LIMITED	alt-travel.com.hk	Travel Industry Council of Hong Kong (TIC) - Member Travel Agents	tichk-travel-agents.tsv
arts_recreation	tourism_tichk_travel_agent	AL TRAVEL LIMITED	altravel.hk	Travel Industry Council of Hong Kong (TIC) - Member Travel Agents	tichk-travel-agents.tsv
arts_recreation	tourism_tichk_travel_agent	AMERICAN EXPRESS TLS HK LIMITED	americanexpress.com.hk	Travel Industry Council of Hong Kong (TIC) - Member Travel Agents	tichk-travel-agents.tsv
arts_recreation	tourism_tichk_travel_agent	GLOBAL BUSINESS TRAVEL HONG KONG LIMITED	amexgbt.com	Travel Industry Council of Hong Kong (TIC) - Member Travel Agents	tichk-travel-agents.tsv
arts_recreation	tourism_tichk_travel_agent	GLOBAL BUSINESS TRAVEL HONG KONG LIMITED	amexglobalbusinesstravel.com	Travel Industry Council of Hong Kong (TIC) - Member Travel Agents	tichk-travel-agents.tsv
arts_recreation	tourism_tichk_travel_agent	AMSITO TRAVEL SERVICE LIMITED	amsito.com.hk	Travel Industry Council of Hong Kong (TIC) - Member Travel Agents	tichk-travel-agents.tsv
arts_recreation	tourism_tichk_travel_agent	A &amp; M TRAVEL &amp; TOURS LIMITED	amtravel.hk	Travel Industry Council of Hong Kong (TIC) - Member Travel Agents	tichk-travel-agents.tsv
arts_recreation	tourism_tichk_travel_agent	AMY EXPRESS SHANGHAI &amp; BEIJING AIRPORT CHAUFFEURED SERVICE LIMITED	amyexpress.com	Travel Industry Council of Hong Kong (TIC) - Member Travel Agents	tichk-travel-agents.tsv
