category	name	domain	source
bank	Airstar Bank Limited	airstarbank.com	Derived from financial.tsv
bank	Alipay Financial Services (HK) Limited	alipayhk.com	Derived from financial.tsv
bank	Ant Bank (Hong Kong) Limited	antbank.hk	Derived from financial.tsv
bank	Bangkok Bank Public Company Limited	bangkokbank.com	Derived from financial.tsv
bank	Bank of Communications Co., Ltd. Hong Kong Branch	bankcomm.com	Derived from financial.tsv
bank	Bank of Communications (Hong Kong) Limited	bankcomm.com.hk	Derived from financial.tsv
bank	BDO Unibank, Inc.	bdo.com.ph	Derived from financial.tsv
bank	Bank of China (Hong Kong) Limited	bochk.com	Derived from financial.tsv
bank	China Construction Bank Corporation, Hong Kong Branch	ccb.com	Derived from financial.tsv
bank	Chong Hing Bank Limited	chbank.com	Derived from financial.tsv
bank	Chiyu Banking Corporation Limited	chiyubank.com	Derived from financial.tsv
bank	Citibank (Hong Kong) Limited	citibank.com.hk	Derived from financial.tsv
bank	China Minsheng Banking Corp., Ltd. Hong Kong Branch	cmbc.com.cn	Derived from financial.tsv
bank	China Merchants Bank Co. Ltd. Hong Kong Branch	cmbchina.com	Derived from financial.tsv
bank	CMB Wing Lung Bank Limited	cmbwinglungbank.com	Derived from financial.tsv
bank	China Citic Bank International Limited	cncbinternational.com	Derived from financial.tsv
bank	Commerzbank AG	commerzbank.hk	Derived from financial.tsv
bank	Dah Sing Bank, Limited	dahsing.com	Derived from financial.tsv
bank	DBS Bank (Hong Kong) Limited	dbs.com	Derived from financial.tsv
bank	DBS Bank Ltd., Hong Kong Branch	dbs.com.hk	Derived from financial.tsv
bank	Fubon Bank (Hong Kong) Limited	fubonbank.com.hk	Derived from financial.tsv
bank	Fusion Bank Limited	fusionbank.com	Derived from financial.tsv
bank	ePaylinks Technology Co., Limited	globalcash.hk	Derived from financial.tsv
bank	Hang Seng Bank, Limited	hangseng.com	Derived from financial.tsv
bank	The Bank of East Asia, Limited	hkbea-cyberbanking.com	Derived from financial.tsv
bank	Bank of East Asia, Limited (The)	hkbea.com	Derived from financial.tsv
bank	Council for Accreditation of Academic & Vocational Qualifications, Hong Kong	hkcaavq.edu.hk	Derived from financial.tsv
bank	Export Credit Insurance Corporation, Hong Kong	hkecic.com	Derived from financial.tsv
bank	Exchanges and Clearing Ltd., Hong Kong	hkex.com.hk	Derived from financial.tsv
bank	Hong Leong Bank Berhad	hlb.com.my	Derived from financial.tsv
bank	HongKong and Shanghai Banking Corporation Limited (The)	hsbc.com.hk	Derived from financial.tsv
bank	Industrial and Commercial Bank of China (Asia) Limited	icbc.com.cn	Derived from financial.tsv
bank	Industrial and Commercial Bank of China (Asia) Limited	icbcasia.com	Derived from financial.tsv
bank	Indian Overseas Bank	iobhongkong.com	Derived from financial.tsv
bank	Livi Bank Limited	livibank.com	Derived from financial.tsv
bank	Mox Bank Limited	mox.com	Derived from financial.tsv
bank	Nanyang Commercial Bank, Limited	ncb.com.hk	Derived from financial.tsv
bank	OCBC Bank (Hong Kong) Limited	ocbc.com.hk	Derived from financial.tsv
bank	OCBC Wing Hang Bank Limited	ocbcwhhk.com	Derived from financial.tsv
bank	Octopus Cards Limited	octopus.com.hk	Derived from financial.tsv
bank	Public Bank (Hong Kong) Limited	publicbank.com.hk	Derived from financial.tsv
bank	Standard Chartered Bank (Hong Kong) Limited	sc.com	Derived from financial.tsv
bank	Shanghai Commercial Bank Limited	shacombank.com.hk	Derived from financial.tsv
bank	Standard Chartered Bank (Hong Kong) Limited	standardchartered.com	Derived from financial.tsv
bank	United Overseas Bank Limited	uobgroup.com	Derived from financial.tsv
bank	WeChat Pay Hong Kong Limited	wechat.com	Derived from financial.tsv
bank	WeLab Bank Limited	welab.bank	Derived from financial.tsv
bank	ZA Bank Limited	za.group	Derived from financial.tsv
