industry	category	name	domain	source	dataset
construction	registered_contractor	Gammon Construction Limited	gammonconstruction.com	Buildings Department - Register of Contractors / Manual compilation	contractors.tsv
construction	registered_contractor	China State Construction Engineering (Hong Kong) Limited	chinastateconst.com	Buildings Department - Register of Contractors / Manual compilation	contractors.tsv
construction	registered_contractor	Hip Hing Construction Company Limited	hiphing.com.hk	Buildings Department - Register of Contractors / Manual compilation	contractors.tsv
construction	registered_contractor	Leighton Contractors (Asia) Limited	leightonasia.com	Buildings Department - Register of Contractors / Manual compilation	contractors.tsv
construction	registered_contractor	Build King Holdings Limited	buildking.hk	Buildings Department - Register of Contractors / Manual compilation	contractors.tsv
construction	registered_contractor	Paul Y. Engineering Group Limited	paulygroup.com	Buildings Department - Register of Contractors / Manual compilation	contractors.tsv
construction	registered_contractor	Chun Wo Construction Holdings Company Limited	chunwo.com	Buildings Department - Register of Contractors / Manual compilation	contractors.tsv
construction	registered_contractor	Kaden Construction Limited	kaden.com.hk	Buildings Department - Register of Contractors / Manual compilation	contractors.tsv
construction	registered_contractor	Shui On Construction Company Limited	shuion.com	Buildings Department - Register of Contractors / Manual compilation	contractors.tsv
construction	registered_contractor	Yau Lee Holdings Limited	yaulee.com	Buildings Department - Register of Contractors / Manual compilation	contractors.tsv
construction	registered_contractor	Dragages Hong Kong Limited	dragages.com.hk	Buildings Department - Register of Contractors / Manual compilation	contractors.tsv
construction	registered_contractor	Bouygues Travaux Publics - Hong Kong	bouygues-tp.com	Buildings Department - Register of Contractors / Manual compilation	contractors.tsv
construction	registered_contractor	AECOM Asia Company Limited	aecom.com	Buildings Department - Register of Contractors / Manual compilation	contractors.tsv
construction	registered_contractor	WSP (Asia) Limited	wsp.com	Buildings Department - Register of Contractors / Manual compilation	contractors.tsv
construction	registered_contractor	Arup	arup.com	Buildings Department - Register of Contractors / Manual compilation	contractors.tsv
construction	registered_contractor	Meinhardt Infrastructure & Environment Limited	meinhardt.net	Buildings Department - Register of Contractors / Manual compilation	contractors.tsv
