industry	category	name	domain	source	dataset
construction	registered_electrical_contractor	KEUNG SHING REPAIRING		EMSD - Register of Electrical Contractors	emsd_contractors.xlsx
construction	registered_electrical_contractor	SUCCESS ELECTRICAL AND MACHINERY ENGINEERING COMPANY		EMSD - Register of Electrical Contractors	emsd_contractors.xlsx
construction	registered_electrical_contractor	CHING WAH ELECTRICAL CO		EMSD - Register of Electrical Contractors	emsd_contractors.xlsx
construction	registered_electrical_contractor	WING KEUNG ELECTRIC DECORATION		EMSD - Register of Electrical Contractors	emsd_contractors.xlsx
construction	registered_electrical_contractor	WONG SHING KEE ENGINEERING COMPANY LIMITED		EMSD - Register of Electrical Contractors	emsd_contractors.xlsx
construction	registered_electrical_contractor	CHUN KONG ELECTRIC COMPANY		EMSD - Register of Electrical Contractors	emsd_contractors.xlsx
construction	registered_electrical_contractor	CHUNG HING ELECTRICAL CO		EMSD - Register of Electrical Contractors	emsd_contractors.xlsx
construction	registered_electrical_contractor	PAUL'S ELECTRICAL ENGINEERING CO		EMSD - Register of Electrical Contractors	emsd_contractors.xlsx
construction	registered_electrical_contractor	KWAI HO ELECTRICAL COMPANY		EMSD - Register of Electrical Contractors	emsd_contractors.xlsx
construction	registered_electrical_contractor	FAR SAFE ENGINEERING LIMITED		EMSD - Register of Electrical Contractors	emsd_contractors.xlsx
construction	registered_electrical_contractor	HUNG KEE WATER & ELECTRICAL WORKS		EMSD - Register of Electrical Contractors	emsd_contractors.xlsx
construction	registered_electrical_contractor	CHUN FAI WATER & ELECTRIC WORKS		EMSD - Register of Electrical Contractors	emsd_contractors.xlsx
construction	registered_electrical_contractor	FAR EAST METAL WATER ELECTRIC WORKS CO		EMSD - Register of Electrical Contractors	emsd_contractors.xlsx
construction	registered_electrical_contractor	BORNAL ENGINEERING COMPANY LIMITED		EMSD - Register of Electrical Contractors	emsd_contractors.xlsx
construction	registered_electrical_contractor	YAU KWONG ELECTRICAL CO		EMSD - Register of Electrical Contractors	emsd_contractors.xlsx
construction	registered_electrical_contractor	TAI TUNG WATER ELECTRIC ENG.		EMSD - Register of Electrical Contractors	emsd_contractors.xlsx
construction	registered_electrical_contractor	SHUN FAT WATER & ELECT WORKS		EMSD - Register of Electrical Contractors	emsd_contractors.xlsx
construction	registered_electrical_contractor	HUNG KEI ENGINEERING CO		EMSD - Register of Electrical Contractors	emsd_contractors.xlsx
construction	registered_electrical_contractor	CHUN HING ELECTRICITY PUMPING & AIR CONDITION ENGINEERING		EMSD - Register of Electrical Contractors	emsd_contractors.xlsx
construction	registered_electrical_contractor	YAU LUEN W/E DEC ENG CO		EMSD - Register of Electrical Contractors	emsd_contractors.xlsx
construction	registered_electrical_contractor	TAI LOI ELECTRONICAL		EMSD - Register of Electrical Contractors	emsd_contractors.xlsx
construction	registered_electrical_contractor	MING SHING ENGINEERING COMPANY LIMITED		EMSD - Register of Electrical Contractors	emsd_contractors.xlsx
construction	registered_electrical_contractor	CHU KWONG WATER & ELECTRICAL ENGINEERING		EMSD - Register of Electrical Contractors	emsd_contractors.xlsx
construction	registered_electrical_contractor	CAR PARK ENGINEERING CO		EMSD - Register of Electrical Contractors	emsd_contractors.xlsx
construction	registered_electrical_contractor	RAYMOND RADIO CO		EMSD - Register of Electrical Contractors	emsd_contractors.xlsx
construction	registered_electrical_contractor	LUCKY ENGINEERING CO		EMSD - Register of Electrical Contractors	emsd_contractors.xlsx
construction	registered_electrical_contractor	WANG YIP ENGINEERING CO.		EMSD - Register of Electrical Contractors	emsd_contractors.xlsx
construction	registered_electrical_contractor	HOI WAN ELECTRICAL ENGINEERING CO		EMSD - Register of Electrical Contractors	emsd_contractors.xlsx
construction	registered_electrical_contractor	SHING HING WATER & ELECTRICAL ENGINEERING		EMSD - Register of Electrical Contractors	emsd_contractors.xlsx
construction	registered_electrical_contractor	KAM FUNG ELECTRICAL & PLUMBING CO.		EMSD - Register of Electrical Contractors	emsd_contractors.xlsx
construction	registered_electrical_contractor	SUN WAH DECORATION & ELECTRIC WORKS		EMSD - Register of Electrical Contractors	emsd_contractors.xlsx
construction	registered_electrical_contractor	SHUNG HING WATER & ELECTRICAL ENGINEERING		EMSD - Register of Electrical Contractors	emsd_contractors.xlsx
construction	registered_electrical_contractor	TAT SHING DECORATION WATER & ELECTRIC WORKS		EMSD - Register of Electrical Contractors	emsd_contractors.xlsx
construction	registered_electrical_contractor	FOSTER ELECTRIC WORKS		EMSD - Register of Electrical Contractors	emsd_contractors.xlsx
