category	name	domain	source
education_degree_awarding_nonugc	Hong Kong Chu Hai College	chuhai.edu.hk	https://www.edb.gov.hk/en/edu-system/postsecondary/local-higher-edu/institutions/index.html
education_degree_awarding_nonugc	Gratia Christian College	gcc.edu.hk	https://www.edb.gov.hk/en/edu-system/postsecondary/local-higher-edu/institutions/index.html
education_degree_awarding_nonugc	Hong Kong Academy for Performing Arts	hkapa.edu	https://www.edb.gov.hk/en/edu-system/postsecondary/local-higher-edu/institutions/index.html
education_degree_awarding_nonugc	HKCT Institute of Higher Education	hkct.edu.hk	https://www.edb.gov.hk/en/edu-system/postsecondary/local-higher-edu/institutions/index.html
education_degree_awarding_nonugc	Hong Kong Metropolitan University	hkmu.edu.hk	https://www.edb.gov.hk/en/edu-system/postsecondary/local-higher-edu/institutions/index.html
education_degree_awarding_nonugc	Hong Kong Shue Yan University	hksyu.edu	https://www.edb.gov.hk/en/edu-system/postsecondary/local-higher-edu/institutions/index.html
education_degree_awarding_nonugc	The Hang Seng University of Hong Kong	hsu.edu.hk	https://www.edb.gov.hk/en/edu-system/postsecondary/local-higher-edu/institutions/index.html
education_degree_awarding_nonugc	Hong Kong Nang Yan College of Higher Education	ny.edu.hk	https://www.edb.gov.hk/en/edu-system/postsecondary/local-higher-edu/institutions/index.html
education_degree_awarding_nonugc	Saint Francis University	sfu.edu.hk	https://www.edb.gov.hk/en/edu-system/postsecondary/local-higher-edu/institutions/index.html
education_degree_awarding_nonugc	Technological and Higher Education Institute of Hong Kong, Vocational Training Council	thei.edu.hk	https://www.edb.gov.hk/en/edu-system/postsecondary/local-higher-edu/institutions/index.html
education_degree_awarding_nonugc	Tung Wah College	twc.edu.hk	https://www.edb.gov.hk/en/edu-system/postsecondary/local-higher-edu/institutions/index.html
education_degree_awarding_nonugc	UOW College Hong Kong	uowchk.edu.hk	https://www.edb.gov.hk/en/edu-system/postsecondary/local-higher-edu/institutions/index.html
education_degree_awarding_nonugc	The Hong Kong University of Science and Technology	ust.hk	https://www.edb.gov.hk/en/edu-system/postsecondary/local-higher-edu/institutions/index.html
education_degree_awarding_nonugc	Yew Chung College of Early Childhood Education	yccece.edu.hk	https://www.edb.gov.hk/en/edu-system/postsecondary/local-higher-edu/institutions/index.html
education_ipass_associate_degree	Caritas Bianchi College of Careers	cbcc.edu.hk	https://www.cspe.edu.hk/connector/en/ipass/*
education_ipass_associate_degree	Hong Kong Chu Hai College	chuhai.edu.hk	https://www.cspe.edu.hk/connector/en/ipass/*
education_ipass_associate_degree	The Education University of Hong Kong	eduhk.hk	https://www.cspe.edu.hk/connector/en/ipass/*
education_ipass_associate_degree	Hong Kong Adventist College	hkac.edu	https://www.cspe.edu.hk/connector/en/ipass/*
education_ipass_associate_degree	Hong Kong Baptist University - College of International Education	hkbu.edu.hk	https://www.cspe.edu.hk/connector/en/ipass/*
education_ipass_associate_degree	The Hong Kong Polytechnic University - Hong Kong Community College	hkcc-polyu.edu.hk	https://www.cspe.edu.hk/connector/en/ipass/*
education_ipass_associate_degree	Hong Kong College of Technology	hkct.edu.hk	https://www.cspe.edu.hk/connector/en/ipass/*
education_ipass_associate_degree	Hong Kong Institute of Technology	hkit.edu.hk	https://www.cspe.edu.hk/connector/en/ipass/*
education_ipass_associate_degree	Hong Kong Metropolitan University	hkmu.edu.hk	https://www.cspe.edu.hk/connector/en/ipass/*
education_ipass_associate_degree	The University of Hong Kong - HKU SPACE Community College	hku.hk	https://www.cspe.edu.hk/connector/en/ipass/*
education_ipass_associate_degree	The Hang Seng University of Hong Kong	hsu.edu.hk	https://www.cspe.edu.hk/connector/en/ipass/*
education_ipass_associate_degree	Lingnan University - The Community College at Lingnan University	ln.edu.hk	https://www.cspe.edu.hk/connector/en/ipass/*
education_ipass_associate_degree	Hong Kong Nang Yan College of Higher Education	ny.edu.hk	https://www.cspe.edu.hk/connector/en/ipass/*
education_ipass_associate_degree	Saint Francis University	sfu.edu.hk	https://www.cspe.edu.hk/connector/en/ipass/*
education_ipass_associate_degree	Tung Wah College	twc.edu.hk	https://www.cspe.edu.hk/connector/en/ipass/*
education_ipass_associate_degree	UOW College Hong Kong	uowchk.edu.hk	https://www.cspe.edu.hk/connector/en/ipass/*
education_ipass_associate_degree	Yew Chung College of Early Childhood Education	yccece.edu.hk	https://www.cspe.edu.hk/connector/en/ipass/*
education_ipass_higher_diploma	Caritas Bianchi College of Careers	cbcc.edu.hk	https://www.cspe.edu.hk/connector/en/ipass/*
education_ipass_higher_diploma	Hong Kong Chu Hai College	chuhai.edu.hk	https://www.cspe.edu.hk/connector/en/ipass/*
education_ipass_higher_diploma	Caritas Institute of Community Education	cice.edu.hk	https://www.cspe.edu.hk/connector/en/ipass/*
education_ipass_higher_diploma	The Chinese University of Hong Kong - School of Continuing and Professional Studies	cuscshd.hk	https://www.cspe.edu.hk/connector/en/ipass/*
education_ipass_higher_diploma	YMCA College of Careers	cymca.edu.hk	https://www.cspe.edu.hk/connector/en/ipass/*
education_ipass_higher_diploma	The Education University of Hong Kong	eduhk.hk	https://www.cspe.edu.hk/connector/en/ipass/*
education_ipass_higher_diploma	Gratia Christian College	gcc.edu.hk	https://www.cspe.edu.hk/connector/en/ipass/*
education_ipass_higher_diploma	Hong Kong Adventist College	hkac.edu	https://www.cspe.edu.hk/connector/en/ipass/*
education_ipass_higher_diploma	Hong Kong Art School (a division of Hong Kong Arts Centre)	hkas.edu.hk	https://www.cspe.edu.hk/connector/en/ipass/*
education_ipass_higher_diploma	Hong Kong Baptist University - College of International Education	hkbu.edu.hk	https://www.cspe.edu.hk/connector/en/ipass/*
education_ipass_higher_diploma	The Hong Kong Polytechnic University - Hong Kong Community College	hkcc-polyu.edu.hk	https://www.cspe.edu.hk/connector/en/ipass/*
education_ipass_higher_diploma	HKCT Institute of Higher Education	hkct.edu.hk	https://www.cspe.edu.hk/connector/en/ipass/*
education_ipass_higher_diploma	Hong Kong Institute of Technology	hkit.edu.hk	https://www.cspe.edu.hk/connector/en/ipass/*
education_ipass_higher_diploma	Hong Kong Metropolitan University	hkmu.edu.hk	https://www.cspe.edu.hk/connector/en/ipass/*
education_ipass_higher_diploma	The University of Hong Kong - HKU SPACE Community College	hku.hk	https://www.cspe.edu.hk/connector/en/ipass/*
education_ipass_higher_diploma	Kaplan Business and Accountancy School	kbas.edu.hk	https://www.cspe.edu.hk/connector/en/ipass/*
education_ipass_higher_diploma	Lingnan University - The Community College at Lingnan University	ln.edu.hk	https://www.cspe.edu.hk/connector/en/ipass/*
education_ipass_higher_diploma	Hong Kong Nang Yan College of Higher Education	ny.edu.hk	https://www.cspe.edu.hk/connector/en/ipass/*
education_ipass_higher_diploma	Pui Ching Academy	pca.edu.hk	https://www.cspe.edu.hk/connector/en/ipass/*
education_ipass_higher_diploma	Saint Francis University	sfu.edu.hk	https://www.cspe.edu.hk/connector/en/ipass/*
