industry	category	name	domain	source	dataset
education	education_primary_dss	DIOCESAN BOYS' SCHOOL	dbspd.edu.hk	https://www.edb.gov.hk/attachment/en/student-parents/sch-info/sch-search/sch-location-info/SCH_LOC_EDB.csv	all.tsv | primary.tsv
education	education_primary_dss	DELIA (MAN KIU) ENGLISH PRIMARY SCHOOL	deliamk.edu.hk	https://www.edb.gov.hk/attachment/en/student-parents/sch-info/sch-search/sch-location-info/SCH_LOC_EDB.csv	all.tsv | primary.tsv
education	education_primary_dss	EVANGEL COLLEGE	evangel.edu.hk	https://www.edb.gov.hk/attachment/en/student-parents/sch-info/sch-search/sch-location-info/SCH_LOC_EDB.csv	all.tsv | primary.tsv
education	education_primary_dss	FUKIEN SECONDARY SCHOOL AFFILIATED SCHOOL	fssas.edu.hk	https://www.edb.gov.hk/attachment/en/student-parents/sch-info/sch-search/sch-location-info/SCH_LOC_EDB.csv	all.tsv | primary.tsv
education	education_primary_dss	G.T. (ELLEN YEUNG) COLLEGE	gtschool.hk	https://www.edb.gov.hk/attachment/en/student-parents/sch-info/sch-search/sch-location-info/SCH_LOC_EDB.csv	all.tsv | primary.tsv
education	education_primary_dss	HONG KONG BAPTIST UNIVERSITY AFFILIATED SCHOOL WONG KAM FAI SECONDARY AND PRIMARY SCHOOL	hkbuas.edu.hk	https://www.edb.gov.hk/attachment/en/student-parents/sch-info/sch-search/sch-location-info/SCH_LOC_EDB.csv	all.tsv | primary.tsv
education	education_primary_dss	HKUGA PRIMARY SCHOOL	hkugaps.edu.hk	https://www.edb.gov.hk/attachment/en/student-parents/sch-info/sch-search/sch-location-info/SCH_LOC_EDB.csv	all.tsv | primary.tsv
education	education_primary_dss	HON WAH COLLEGE	honwah.edu.hk	https://www.edb.gov.hk/attachment/en/student-parents/sch-info/sch-search/sch-location-info/SCH_LOC_EDB.csv	all.tsv | primary.tsv
education	education_primary_dss	THE HONG KONG CHINESE CHRISTIAN CHURCHES UNION LOGOS ACADEMY	logosacademy.edu.hk	https://www.edb.gov.hk/attachment/en/student-parents/sch-info/sch-search/sch-location-info/SCH_LOC_EDB.csv	all.tsv | primary.tsv
education	education_primary_dss	LINGNAN UNIVERSITY ALUMNI ASSOCIATION (HONG KONG) PRIMARY SCHOOL	luaaps.edu.hk	https://www.edb.gov.hk/attachment/en/student-parents/sch-info/sch-search/sch-location-info/SCH_LOC_EDB.csv	all.tsv | primary.tsv
education	education_primary_dss	ELCHK LUTHERAN ACADEMY	luac.edu.hk	https://www.edb.gov.hk/attachment/en/student-parents/sch-info/sch-search/sch-location-info/SCH_LOC_EDB.csv	all.tsv | primary.tsv
education	education_primary_dss	PO LEUNG KUK CAMÕES TAN SIU LIN PRIMARY SCHOOL	plkctslps.edu.hk	https://www.edb.gov.hk/attachment/en/student-parents/sch-info/sch-search/sch-location-info/SCH_LOC_EDB.csv	all.tsv | primary.tsv
education	education_primary_dss	PO LEUNG KUK LUK HING TOO PRIMARY SCHOOL	plklht.edu.hk	https://www.edb.gov.hk/attachment/en/student-parents/sch-info/sch-search/sch-location-info/SCH_LOC_EDB.csv	all.tsv | primary.tsv
education	education_primary_dss	PO LEUNG KUK LAM MAN CHAN ENGLISH PRIMARY SCHOOL	plklmceps.edu.hk	https://www.edb.gov.hk/attachment/en/student-parents/sch-info/sch-search/sch-location-info/SCH_LOC_EDB.csv	all.tsv | primary.tsv
education	education_primary_dss	PUI KIU COLLEGE	puikiu.edu.hk	https://www.edb.gov.hk/attachment/en/student-parents/sch-info/sch-search/sch-location-info/SCH_LOC_EDB.csv	all.tsv | primary.tsv
education	education_primary_dss	ST. MARGARET'S CO-EDUCATIONAL ENGLISH SECONDARY AND PRIMARY SCHOOL	smcesps.edu.hk	https://www.edb.gov.hk/attachment/en/student-parents/sch-info/sch-search/sch-location-info/SCH_LOC_EDB.csv	all.tsv | primary.tsv
education	education_primary_dss	ST. PAUL'S COLLEGE PRIMARY SCHOOL	spc-ps.edu.hk	https://www.edb.gov.hk/attachment/en/student-parents/sch-info/sch-search/sch-location-info/SCH_LOC_EDB.csv	all.tsv | primary.tsv
education	education_primary_dss	ST. PAUL'S CO-EDUCATIONAL COLLEGE PRIMARY SCHOOL	spcc.edu.hk	https://www.edb.gov.hk/attachment/en/student-parents/sch-info/sch-search/sch-location-info/SCH_LOC_EDB.csv	all.tsv | primary.tsv
education	education_primary_dss	W F JOSEPH LEE PRIMARY SCHOOL	wfjlps.edu.hk	https://www.edb.gov.hk/attachment/en/student-parents/sch-info/sch-search/sch-location-info/SCH_LOC_EDB.csv	all.tsv | primary.tsv
education	education_primary_dss	YING WA PRIMARY SCHOOL	yingwaps.edu.hk	https://www.edb.gov.hk/attachment/en/student-parents/sch-info/sch-search/sch-location-info/SCH_LOC_EDB.csv	all.tsv | primary.tsv
education	education_primary_dss	PO LEUNG KUK HONG KONG TAOIST ASSOCIATION YUEN YUEN PRIMARY SCHOOL	yyps.edu.hk	https://www.edb.gov.hk/attachment/en/student-parents/sch-info/sch-search/sch-location-info/SCH_LOC_EDB.csv	all.tsv | primary.tsv
