industry	category	name	domain	source	dataset
education	education_primary_government	ALDRICH BAY GOVERNMENT PRIMARY SCHOOL	abgps.edu.hk	https://www.edb.gov.hk/attachment/en/student-parents/sch-info/sch-search/sch-location-info/SCH_LOC_EDB.csv	all.tsv | primary.tsv
education	education_primary_government	BONHAM ROAD GOVERNMENT PRIMARY SCHOOL	brgps.edu.hk	https://www.edb.gov.hk/attachment/en/student-parents/sch-info/sch-search/sch-location-info/SCH_LOC_EDB.csv	all.tsv | primary.tsv
education	education_primary_government	FANLING GOVERNMENT PRIMARY SCHOOL	fgps.edu.hk	https://www.edb.gov.hk/attachment/en/student-parents/sch-info/sch-search/sch-location-info/SCH_LOC_EDB.csv	all.tsv | primary.tsv
education	education_primary_government	FARM ROAD GOVERNMENT PRIMARY SCHOOL	frgps.edu.hk	https://www.edb.gov.hk/attachment/en/student-parents/sch-info/sch-search/sch-location-info/SCH_LOC_EDB.csv	all.tsv | primary.tsv
education	education_primary_government	FUK WING STREET GOVERNMENT PRIM SCH	fwsgps.edu.hk	https://www.edb.gov.hk/attachment/en/student-parents/sch-info/sch-search/sch-location-info/SCH_LOC_EDB.csv	all.tsv | primary.tsv
education	education_primary_government	HONG KONG SOUTHERN DISTRICT GOVERNMENT PRIMARY SCHOOL	hksdgps.edu.hk	https://www.edb.gov.hk/attachment/en/student-parents/sch-info/sch-search/sch-location-info/SCH_LOC_EDB.csv	all.tsv | primary.tsv
education	education_primary_government	HOI PA STREET GOVERNMENT PRIMARY SCH	hpsgps.edu.hk	https://www.edb.gov.hk/attachment/en/student-parents/sch-info/sch-search/sch-location-info/SCH_LOC_EDB.csv	all.tsv | primary.tsv
education	education_primary_government	HENNESSY ROAD GOVERNMENT PRIMARY SCH	hrgps.edu.hk	https://www.edb.gov.hk/attachment/en/student-parents/sch-info/sch-search/sch-location-info/SCH_LOC_EDB.csv	all.tsv | primary.tsv
education	education_primary_government	HENNESSY ROAD GOVERNMENT PRIMARY SCHOOL (CAUSEWAY BAY)	hrgpscwb.edu.hk	https://www.edb.gov.hk/attachment/en/student-parents/sch-info/sch-search/sch-location-info/SCH_LOC_EDB.csv	all.tsv | primary.tsv
education	education_primary_government	ERUDITE GOVERNMENT PRIMARY SCHOOL	https://egps.edu.hk	https://www.edb.gov.hk/attachment/en/student-parents/sch-info/sch-search/sch-location-info/SCH_LOC_EDB.csv	all.tsv | primary.tsv
education	education_primary_government	JORDAN ROAD GOVERNMENT PRIMARY SCHOOL	jrgps.edu.hk	https://www.edb.gov.hk/attachment/en/student-parents/sch-info/sch-search/sch-location-info/SCH_LOC_EDB.csv	all.tsv | primary.tsv
education	education_primary_government	KOWLOON TONG GOVERNMENT PRIMARY SCHOOL	klntong.edu.hk	https://www.edb.gov.hk/attachment/en/student-parents/sch-info/sch-search/sch-location-info/SCH_LOC_EDB.csv	all.tsv | primary.tsv
education	education_primary_government	KWUN TONG GOVERNMENT PRIMARY SCHOOL (SAU MING ROAD)	ktgps-smr.edu.hk	https://www.edb.gov.hk/attachment/en/student-parents/sch-info/sch-search/sch-location-info/SCH_LOC_EDB.csv	all.tsv | primary.tsv
education	education_primary_government	KWUN TONG GOVERNMENT PRIMARY SCHOOL	ktgps.edu.hk	https://www.edb.gov.hk/attachment/en/student-parents/sch-info/sch-search/sch-location-info/SCH_LOC_EDB.csv	all.tsv | primary.tsv
education	education_primary_government	LI CHENG UK GOVERNMENT PRIMARY SCHOOL	lcu.edu.hk	https://www.edb.gov.hk/attachment/en/student-parents/sch-info/sch-search/sch-location-info/SCH_LOC_EDB.csv	all.tsv | primary.tsv
education	education_primary_government	LI SING PRIMARY SCHOOL	lsps.edu.hk	https://www.edb.gov.hk/attachment/en/student-parents/sch-info/sch-search/sch-location-info/SCH_LOC_EDB.csv	all.tsv | primary.tsv
education	education_primary_government	MA TAU CHUNG GOVERNMENT PRIMARY SCH	mtcgps.edu.hk	https://www.edb.gov.hk/attachment/en/student-parents/sch-info/sch-search/sch-location-info/SCH_LOC_EDB.csv	all.tsv | primary.tsv
education	education_primary_government	MA TAU CHUNG GOVERNMENT PRIMARY SCHOOL (HUNG HOM BAY)	mtchhb.edu.hk	https://www.edb.gov.hk/attachment/en/student-parents/sch-info/sch-search/sch-location-info/SCH_LOC_EDB.csv	all.tsv | primary.tsv
education	education_primary_government	NORTH POINT GOVERNMENT PRIMARY SCHOOL (CLOUD VIEW ROAD)	npcvr.edu.hk	https://www.edb.gov.hk/attachment/en/student-parents/sch-info/sch-search/sch-location-info/SCH_LOC_EDB.csv	all.tsv | primary.tsv
education	education_primary_government	NORTH POINT GOVERNMENT PRIMARY SCHOOL	npgps.edu.hk	https://www.edb.gov.hk/attachment/en/student-parents/sch-info/sch-search/sch-location-info/SCH_LOC_EDB.csv	all.tsv | primary.tsv
education	education_primary_government	SIR ELLIS KADOORIE (SOOKUNPO) PRIMARY SCHOOL	sekps.edu.hk	https://www.edb.gov.hk/attachment/en/student-parents/sch-info/sch-search/sch-location-info/SCH_LOC_EDB.csv	all.tsv | primary.tsv
education	education_primary_government	SHAU KEI WAN GOVERNMENT PRIMARY SCHOOL	skwgps.edu.hk	https://www.edb.gov.hk/attachment/en/student-parents/sch-info/sch-search/sch-location-info/SCH_LOC_EDB.csv	all.tsv | primary.tsv
education	education_primary_government	SHAM SHUI PO GOVERNMENT PRIMARY SCHOOL	sspgps.edu.hk	https://www.edb.gov.hk/attachment/en/student-parents/sch-info/sch-search/sch-location-info/SCH_LOC_EDB.csv	all.tsv | primary.tsv
