industry	category	name	domain	source	dataset
education	education_primary_private	AMERICAN INTERNATIONAL SCHOOL (PRIMARY BRANCH)	ais.edu.hk	https://www.edb.gov.hk/attachment/en/student-parents/sch-info/sch-search/sch-location-info/SCH_LOC_EDB.csv	all.tsv | primary.tsv
education	education_primary_private	AUSTRALIAN INTERNATIONAL SCHOOL HONG KONG	aishk.edu.hk	https://www.edb.gov.hk/attachment/en/student-parents/sch-info/sch-search/sch-location-info/SCH_LOC_EDB.csv	all.tsv | primary.tsv
education	education_primary_private	AOG ST. HILARY'S COLLEGE	aogsthilarys.edu.hk	https://www.edb.gov.hk/attachment/en/student-parents/sch-info/sch-search/sch-location-info/SCH_LOC_EDB.csv	all.tsv | primary.tsv
education	education_primary_private	AP SCHOOL	apschoolhk.edu.hk	https://www.edb.gov.hk/attachment/en/student-parents/sch-info/sch-search/sch-location-info/SCH_LOC_EDB.csv	all.tsv | primary.tsv
education	education_primary_private	ALLIANCE PRIMARY SCHOOL KOWLOON TONG	apskt.edu.hk	https://www.edb.gov.hk/attachment/en/student-parents/sch-info/sch-search/sch-location-info/SCH_LOC_EDB.csv	all.tsv | primary.tsv
education	education_primary_private	HONGKONG LIMAI SCHOOL	austinschool.edu.hk	https://www.edb.gov.hk/attachment/en/student-parents/sch-info/sch-search/sch-location-info/SCH_LOC_EDB.csv	all.tsv | primary.tsv
education	education_primary_private	BEACON HILL SCHOOL	beaconhill.edu.hk	https://www.edb.gov.hk/attachment/en/student-parents/sch-info/sch-search/sch-location-info/SCH_LOC_EDB.csv	all.tsv | primary.tsv
education	education_primary_private	BRADBURY SCHOOL	bradbury.edu.hk	https://www.edb.gov.hk/attachment/en/student-parents/sch-info/sch-search/sch-location-info/SCH_LOC_EDB.csv	all.tsv | primary.tsv
education	education_primary_private	CHRISTIAN ALLIANCE INTERNATIONAL SCHOOL	caisbv.edu.hk	https://www.edb.gov.hk/attachment/en/student-parents/sch-info/sch-search/sch-location-info/SCH_LOC_EDB.csv	all.tsv | primary.tsv
education	education_primary_private	CALIFORNIA SCHOOL	californiaschool.edu.hk	https://www.edb.gov.hk/attachment/en/student-parents/sch-info/sch-search/sch-location-info/SCH_LOC_EDB.csv	all.tsv | primary.tsv
education	education_primary_private	CHRISTIAN ALLIANCE P.C. LAU MEMORIAL INTERNATIONAL SCHOOL	capcl.edu.hk	https://www.edb.gov.hk/attachment/en/student-parents/sch-info/sch-search/sch-location-info/SCH_LOC_EDB.csv	all.tsv | primary.tsv
education	education_primary_private	CARMEL SCHOOL	carmel.edu.hk	https://www.edb.gov.hk/attachment/en/student-parents/sch-info/sch-search/sch-location-info/SCH_LOC_EDB.csv	all.tsv | primary.tsv
education	education_primary_private	CHAN'S CREATIVE SCHOOL	ccs.edu.hk	https://www.edb.gov.hk/attachment/en/student-parents/sch-info/sch-search/sch-location-info/SCH_LOC_EDB.csv	all.tsv | primary.tsv
education	education_primary_private	CANADIAN INTERNATIONAL SCHOOL	cdnis.edu.hk	https://www.edb.gov.hk/attachment/en/student-parents/sch-info/sch-search/sch-location-info/SCH_LOC_EDB.csv	all.tsv | primary.tsv
education	education_primary_private	CHINESE INTERNATIONAL SCHOOL	cis.edu.hk	https://www.edb.gov.hk/attachment/en/student-parents/sch-info/sch-search/sch-location-info/SCH_LOC_EDB.csv	all.tsv | primary.tsv
education	education_primary_private	PO LEUNG KUK CHOI KAI YAU SCHOOL	cky.edu.hk	https://www.edb.gov.hk/attachment/en/student-parents/sch-info/sch-search/sch-location-info/SCH_LOC_EDB.csv	all.tsv | primary.tsv
education	education_primary_private	CREATIVE PRIMARY SCHOOL	creativeprisch.edu.hk	https://www.edb.gov.hk/attachment/en/student-parents/sch-info/sch-search/sch-location-info/SCH_LOC_EDB.csv	all.tsv | primary.tsv
education	education_primary_private	SAN WUI COMMERCIAL SOCIETY YMCA OF HONG KONG CHRISTIAN SCHOOL	cs.edu.hk	https://www.edb.gov.hk/attachment/en/student-parents/sch-info/sch-search/sch-location-info/SCH_LOC_EDB.csv	all.tsv | primary.tsv
education	education_primary_private	CLEARWATER BAY SCHOOL	cwbs.edu.hk	https://www.edb.gov.hk/attachment/en/student-parents/sch-info/sch-search/sch-location-info/SCH_LOC_EDB.csv	all.tsv | primary.tsv
education	education_primary_private	DISCOVERY BAY INTERNATIONAL SCHOOL	dbis.edu.hk	https://www.edb.gov.hk/attachment/en/student-parents/sch-info/sch-search/sch-location-info/SCH_LOC_EDB.csv	all.tsv | primary.tsv
education	education_primary_private	DELIA ENGLISH PRIMARY SCHOOL & KINDERGARTEN	deliapri.edu.hk	https://www.edb.gov.hk/attachment/en/student-parents/sch-info/sch-search/sch-location-info/SCH_LOC_EDB.csv	all.tsv | primary.tsv
education	education_primary_private	DIOCESAN GIRLS' JUNIOR SCHOOL	dgjs.edu.hk	https://www.edb.gov.hk/attachment/en/student-parents/sch-info/sch-search/sch-location-info/SCH_LOC_EDB.csv	all.tsv | primary.tsv
education	education_primary_private	DISCOVERY COLLEGE	discovery.edu.hk	https://www.edb.gov.hk/attachment/en/student-parents/sch-info/sch-search/sch-location-info/SCH_LOC_EDB.csv	all.tsv | primary.tsv
education	education_primary_private	DSC INTERNATIONAL SCHOOL	dsc.edu.hk	https://www.edb.gov.hk/attachment/en/student-parents/sch-info/sch-search/sch-location-info/SCH_LOC_EDB.csv	all.tsv | primary.tsv
education	education_primary_private	ISLAND WALDORF SCHOOL	edu.hk/?gclid=eaiaiqobchmix6p01ujs-wivedgwch0h1ad1eaayasaaegjue_d_bwe	https://www.edb.gov.hk/attachment/en/student-parents/sch-info/sch-search/sch-location-info/SCH_LOC_EDB.csv	all.tsv | primary.tsv
education	education_primary_private	DISCOVERY MIND PRIMARY SCHOOL	edu.hk/?lang=zh-hant	https://www.edb.gov.hk/attachment/en/student-parents/sch-info/sch-search/sch-location-info/SCH_LOC_EDB.csv	all.tsv | primary.tsv
