industry	category	name	domain	source	dataset
education	education_secondary_dss	BUDDHIST FAT HO MEMORIAL COLLEGE	bfhmc.edu.hk	https://www.edb.gov.hk/attachment/en/student-parents/sch-info/sch-search/sch-location-info/SCH_LOC_EDB.csv	all.tsv | secondary.tsv
education	education_secondary_dss	THE CHURCH OF CHRIST IN CHINA KUNG LEE COLLEGE	cccklc.edu.hk	https://www.edb.gov.hk/attachment/en/student-parents/sch-info/sch-search/sch-location-info/SCH_LOC_EDB.csv	all.tsv | secondary.tsv
education	education_secondary_dss	THE CHINESE FOUNDATION SECONDARY SCHOOL	cfss.edu.hk	https://www.edb.gov.hk/attachment/en/student-parents/sch-info/sch-search/sch-location-info/SCH_LOC_EDB.csv	all.tsv | secondary.tsv
education	education_secondary_dss	CHINA HOLINESS COLLEGE	chc.edu.hk	https://www.edb.gov.hk/attachment/en/student-parents/sch-info/sch-search/sch-location-info/SCH_LOC_EDB.csv	all.tsv | secondary.tsv
education	education_secondary_dss	ACADEMY OF INNOVATION (CONFUCIUS HALL)	chss.edu.hk	https://www.edb.gov.hk/attachment/en/student-parents/sch-info/sch-search/sch-location-info/SCH_LOC_EDB.csv	all.tsv | secondary.tsv
education	education_secondary_dss	HONG KONG INSTITUTE OF CONTEMPORARY CULTURE LEE SHAU KEE SCHOOL OF CREATIVITY	creativehk.edu.hk	https://www.edb.gov.hk/attachment/en/student-parents/sch-info/sch-search/sch-location-info/SCH_LOC_EDB.csv	all.tsv | secondary.tsv
education	education_secondary_dss	CREATIVE SECONDARY SCHOOL	css.edu.hk	https://www.edb.gov.hk/attachment/en/student-parents/sch-info/sch-search/sch-location-info/SCH_LOC_EDB.csv	all.tsv | secondary.tsv
education	education_secondary_dss	CHINESE Y.M.C.A. SECONDARY SCHOOL	cymcass.edu.hk	https://www.edb.gov.hk/attachment/en/student-parents/sch-info/sch-search/sch-location-info/SCH_LOC_EDB.csv	all.tsv | secondary.tsv
education	education_secondary_dss	DIOCESAN BOYS' SCHOOL	dbs.edu.hk	https://www.edb.gov.hk/attachment/en/student-parents/sch-info/sch-search/sch-location-info/SCH_LOC_EDB.csv	all.tsv | secondary.tsv
education	education_secondary_dss	DELIA MEMORIAL SCHOOL (BROADWAY )	deliabw.edu.hk	https://www.edb.gov.hk/attachment/en/student-parents/sch-info/sch-search/sch-location-info/SCH_LOC_EDB.csv	all.tsv | secondary.tsv
education	education_secondary_dss	DELIA MEMORIAL SCHOOL (HIP WO)	deliahw.edu.hk	https://www.edb.gov.hk/attachment/en/student-parents/sch-info/sch-search/sch-location-info/SCH_LOC_EDB.csv	all.tsv | secondary.tsv
education	education_secondary_dss	DELIA MEMORIAL SCHOOL (HIP WO NO.2 COLLEGE)	deliahw2.edu.hk	https://www.edb.gov.hk/attachment/en/student-parents/sch-info/sch-search/sch-location-info/SCH_LOC_EDB.csv	all.tsv | secondary.tsv
education	education_secondary_dss	DIOCESAN GIRLS' SCHOOL	dgs.edu.hk	https://www.edb.gov.hk/attachment/en/student-parents/sch-info/sch-search/sch-location-info/SCH_LOC_EDB.csv	all.tsv | secondary.tsv
education	education_secondary_dss	DELIA MEMORIAL SCHOOL (GLEE PATH)	dmsgp.edu.hk	https://www.edb.gov.hk/attachment/en/student-parents/sch-info/sch-search/sch-location-info/SCH_LOC_EDB.csv	all.tsv | secondary.tsv
education	education_secondary_dss	EVANGEL COLLEGE	evangel.edu.hk	https://www.edb.gov.hk/attachment/en/student-parents/sch-info/sch-search/sch-location-info/SCH_LOC_EDB.csv	all.tsv | secondary.tsv
education	education_secondary_dss	FANLING LUTHERAN SECONDARY SCHOOL	flss.edu.hk	https://www.edb.gov.hk/attachment/en/student-parents/sch-info/sch-search/sch-location-info/SCH_LOC_EDB.csv	all.tsv | secondary.tsv
education	education_secondary_dss	FUKIEN SECONDARY SCHOOL	fms.edu.hk	https://www.edb.gov.hk/attachment/en/student-parents/sch-info/sch-search/sch-location-info/SCH_LOC_EDB.csv	all.tsv | secondary.tsv
education	education_secondary_dss	GOOD HOPE SCHOOL	ghs.edu.hk	https://www.edb.gov.hk/attachment/en/student-parents/sch-info/sch-search/sch-location-info/SCH_LOC_EDB.csv	all.tsv | secondary.tsv
education	education_secondary_dss	HEUNG TO MIDDLE SCHOOL	heungto.edu.hk	https://www.edb.gov.hk/attachment/en/student-parents/sch-info/sch-search/sch-location-info/SCH_LOC_EDB.csv	all.tsv | secondary.tsv
education	education_secondary_dss	HEUNG TO SECONDARY SCHOOL (TSEUNG KWAN O)	heungto.net	https://www.edb.gov.hk/attachment/en/student-parents/sch-info/sch-search/sch-location-info/SCH_LOC_EDB.csv	all.tsv | secondary.tsv
