industry	category	name	domain	source	dataset
finance_insurance	banking_payments	Airstar Bank Limited	airstarbank.com	HKICL FPS participant page | Derived from financial.tsv | Derived from financial.tsv (hkicl_fps_participant)	all.tsv | bank.tsv | merged.tsv | payment-fps.tsv
finance_insurance	banking_payments	Alipay Financial Services (HK) Limited	alipayhk.com	HKICL FPS participant page | Derived from financial.tsv | Derived from financial.tsv (hkicl_fps_participant)	all.tsv | bank.tsv | merged.tsv | payment-fps.tsv
finance_insurance	banking_payments	Ant Bank (Hong Kong) Limited	antbank.hk	HKICL FPS participant page | Derived from financial.tsv | Derived from financial.tsv (hkicl_fps_participant)	all.tsv | bank.tsv | merged.tsv | payment-fps.tsv
finance_insurance	banking_payments	Bangkok Bank Public Company Limited	bangkokbank.com	HKMA acctopen-banks-contact | Derived from financial.tsv	all.tsv | bank.tsv | merged.tsv
finance_insurance	banking_payments	Bank of Communications Co., Ltd. Hong Kong Branch	bankcomm.com	HKICL FPS participant page | Derived from financial.tsv | Derived from financial.tsv (hkicl_fps_participant)	all.tsv | merged.tsv | payment-fps.tsv
finance_insurance	banking_payments	Designated branch for opening accounts (overseas enterprise): Bank of China Tower branch, 1 Garden Road, H.K.	bochk.com	HKICL FPS participant page | HKMA acctopen-banks-contact | Derived from financial.tsv | Derived from financial.tsv (hkicl_fps_participant)	all.tsv | bank.tsv | merged.tsv | payment-fps.tsv
finance_insurance	banking_payments	China Construction Bank Corporation, Hong Kong Branch	ccb.com	HKICL FPS participant page | Derived from financial.tsv | Derived from financial.tsv (hkicl_fps_participant)	all.tsv | merged.tsv | payment-fps.tsv
finance_insurance	banking_payments	Chong Hing Bank Limited	chbank.com	HKICL FPS participant page | Derived from financial.tsv | Derived from financial.tsv (hkicl_fps_participant)	all.tsv | merged.tsv | payment-fps.tsv
finance_insurance	banking_payments	Chiyu Banking Corporation Limited	chiyubank.com	HKICL FPS participant page | Derived from financial.tsv | Derived from financial.tsv (hkicl_fps_participant)	all.tsv | merged.tsv | payment-fps.tsv
finance_insurance	banking_payments	Citibank (Hong Kong) Limited	citibank.com.hk	HKICL FPS participant page | Derived from financial.tsv | Derived from financial.tsv (hkicl_fps_participant)	all.tsv | merged.tsv | payment-fps.tsv
finance_insurance	banking_payments	China Minsheng Banking Corp., Ltd. Hong Kong Branch	cmbc.com.cn	HKICL FPS participant page | Derived from financial.tsv | Derived from financial.tsv (hkicl_fps_participant)	all.tsv | bank.tsv | merged.tsv | payment-fps.tsv
finance_insurance	banking_payments	China Merchants Bank Co. Ltd. Hong Kong Branch	cmbchina.com	HKICL FPS participant page | Derived from financial.tsv | Derived from financial.tsv (hkicl_fps_participant)	all.tsv | bank.tsv | merged.tsv | payment-fps.tsv
finance_insurance	banking_payments	CMB Wing Lung Bank Limited	cmbwinglungbank.com	HKICL FPS participant page | Derived from financial.tsv | Derived from financial.tsv (hkicl_fps_participant)	all.tsv | merged.tsv | payment-fps.tsv
