industry	category	name	domain	source	dataset
finance_insurance	insurance	泰加保險有限公司 (在清盤中)	6161.com.hk	IA Register of Authorized Insurers (as at 2026-1-14) | Derived from financial.tsv (GovHK insurance + IA + HKFI)	all.tsv | insurance.tsv | merged.tsv
finance_insurance	insurance	ABCI Insurance Company Limited	abci.com.hk	HKFI Member Companies | Derived from financial.tsv (GovHK insurance + IA + HKFI)	all.tsv | insurance.tsv | merged.tsv
finance_insurance	insurance	農銀國際保險有限公司	abci.net.cn	IA Register of Authorized Insurers (as at 2026-1-14) | Derived from financial.tsv (GovHK insurance + IA + HKFI)	all.tsv | insurance.tsv | merged.tsv
finance_insurance	insurance	友邦保險(國際)有限公司	aia.com.hk	IA Register of Authorized Insurers (as at 2026-1-14) | Derived from financial.tsv (GovHK insurance + IA + HKFI)	all.tsv | insurance.tsv | merged.tsv
finance_insurance	insurance	AIG Insurance Hong Kong Limited	aig.com.hk	HKFI Member Companies | IA Register of Authorized Insurers (as at 2026-1-14) | Derived from financial.tsv (GovHK insurance + IA + HKFI)	all.tsv | insurance.tsv | merged.tsv
finance_insurance	insurance	Euler Hermes	allianz-trade.com	HKFI Member Companies | Derived from financial.tsv (GovHK insurance + IA + HKFI)	all.tsv | insurance.tsv | merged.tsv
finance_insurance	insurance	Allianz Global Corporate & Specialty SE	allianz.com	HKFI Member Companies | IA Register of Authorized Insurers (as at 2026-1-14) | Derived from financial.tsv (GovHK insurance + IA + HKFI)	all.tsv | insurance.tsv | merged.tsv
finance_insurance	insurance	Asia-Pacific Property & Casualty Insurance Co., Ltd. - Hong Kong Branch	apiins.com.hk	HKFI Member Companies | IA Register of Authorized Insurers (as at 2026-1-14) | Derived from financial.tsv (GovHK insurance + IA + HKFI)	all.tsv | insurance.tsv | merged.tsv
finance_insurance	insurance	Arch MI Asia Limited	archmi.com	HKFI Member Companies | Derived from financial.tsv (GovHK insurance + IA + HKFI)	all.tsv | insurance.tsv | merged.tsv
finance_insurance	insurance	Asia Insurance Company Limited	asiainsurance.com.hk	HKFI Member Companies | IA Register of Authorized Insurers (as at 2026-1-14) | Derived from financial.tsv (GovHK insurance + IA + HKFI)	all.tsv | insurance.tsv | merged.tsv
finance_insurance	insurance	Atradius Crédito y Caución S.A. de Seguros y Reaseguros	atradius.com.hk	HKFI Member Companies | Derived from financial.tsv (GovHK insurance + IA + HKFI)	all.tsv | insurance.tsv | merged.tsv
finance_insurance	insurance	Allied World Assurance Company Limited	awac.com	HKFI Member Companies | IA Register of Authorized Insurers (as at 2026-1-14) | Derived from financial.tsv (GovHK insurance + IA + HKFI)	all.tsv | insurance.tsv | merged.tsv
finance_insurance	insurance	AXA China Region Insurance Company (Bermuda) Limited	axa.com.hk	HKFI Member Companies | IA Register of Authorized Insurers (as at 2026-1-14) | Derived from financial.tsv (GovHK insurance + IA + HKFI)	all.tsv | insurance.tsv | merged.tsv
finance_insurance	insurance	XL Insurance Company SE	axaxl.com	HKFI Member Companies | IA Register of Authorized Insurers (as at 2026-1-14) | Derived from financial.tsv (GovHK insurance + IA + HKFI)	all.tsv | insurance.tsv | merged.tsv
finance_insurance	insurance	Berkley Insurance Company	berkleyasia.com	HKFI Member Companies | Derived from financial.tsv (GovHK insurance + IA + HKFI)	all.tsv | insurance.tsv | merged.tsv
finance_insurance	insurance	Berkshire Hathaway Specialty Insurance Company	bhspecialty.com	HKFI Member Companies | IA Register of Authorized Insurers (as at 2026-1-14) | Derived from financial.tsv (GovHK insurance + IA + HKFI)	all.tsv | insurance.tsv | merged.tsv
