industry	category	name	domain	source	dataset
finance_insurance	licensed_bank	AGRICULTURAL BANK OF CHINA LIMITED	hk.abchina.com	HKMA Register of Authorized Institutions	hkma_ais.xls
finance_insurance	licensed_bank	AIRSTAR BANK LIMITED	airstarbank.com	HKMA Register of Authorized Institutions	hkma_ais.xls
finance_insurance	licensed_bank	ANT BANK (HONG KONG) LIMITED	antbank.hk	HKMA Register of Authorized Institutions	hkma_ais.xls
finance_insurance	licensed_bank	AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED	anz.com	HKMA Register of Authorized Institutions	hkma_ais.xls
finance_insurance	licensed_bank	BANCO BILBAO VIZCAYA ARGENTARIA S.A.	bbva.com	HKMA Register of Authorized Institutions	hkma_ais.xls
finance_insurance	licensed_bank	BANCO SANTANDER, S.A.		HKMA Register of Authorized Institutions	hkma_ais.xls
finance_insurance	licensed_bank	BANGKOK BANK PUBLIC COMPANY LIMITED	bangkokbank.com	HKMA Register of Authorized Institutions	hkma_ais.xls
finance_insurance	licensed_bank	BANK J. SAFRA SARASIN AG	Jsafrasarasin.hk	HKMA Register of Authorized Institutions	hkma_ais.xls
finance_insurance	licensed_bank	BANK JULIUS BAER & CO. LTD.	juliusbaer.com	HKMA Register of Authorized Institutions	hkma_ais.xls
finance_insurance	licensed_bank	BANK OF AMERICA, NATIONAL ASSOCIATION	bankofamerica.com	HKMA Register of Authorized Institutions	hkma_ais.xls
finance_insurance	licensed_bank	BANK OF CHINA (HONG KONG) LIMITED		HKMA Register of Authorized Institutions	hkma_ais.xls
finance_insurance	licensed_bank	BANK OF CHINA LIMITED	boc.cn	HKMA Register of Authorized Institutions	hkma_ais.xls
finance_insurance	licensed_bank	BANK OF COMMUNICATIONS (HONG KONG) LIMITED	hk.bankcomm.com	HKMA Register of Authorized Institutions	hkma_ais.xls
finance_insurance	licensed_bank	BANK OF COMMUNICATIONS CO., LTD.	bankcomm.com.hk	HKMA Register of Authorized Institutions	hkma_ais.xls
finance_insurance	licensed_bank	BANK OF DONGGUAN CO., LTD.	hk.dongguanbank.cn	HKMA Register of Authorized Institutions	hkma_ais.xls
finance_insurance	licensed_bank	BANK OF DONGGUAN INTERNATIONAL LIMITED	bodintl.com	HKMA Register of Authorized Institutions	hkma_ais.xls
finance_insurance	licensed_bank	BANK OF EAST ASIA, LIMITED (THE)	hkbea.com	HKMA Register of Authorized Institutions	hkma_ais.xls
finance_insurance	licensed_bank	BANK OF INDIA	bankofindia.com.hk	HKMA Register of Authorized Institutions	hkma_ais.xls
finance_insurance	licensed_bank	BANK OF MONTREAL	bmo.com	HKMA Register of Authorized Institutions	hkma_ais.xls
finance_insurance	licensed_bank	BANK OF NEW YORK MELLON (THE)	bnymellon.com	HKMA Register of Authorized Institutions	hkma_ais.xls
finance_insurance	licensed_bank	BANK OF NOVA SCOTIA (THE)	scotiabank.com	HKMA Register of Authorized Institutions	hkma_ais.xls
finance_insurance	licensed_bank	BANK OF SINGAPORE LIMITED	bankofsingapore.com	HKMA Register of Authorized Institutions	hkma_ais.xls
finance_insurance	licensed_bank	BANK OF TAIWAN	bot.com.tw	HKMA Register of Authorized Institutions	hkma_ais.xls
finance_insurance	licensed_bank	BANK SINOPAC	bank.sinopac.com	HKMA Register of Authorized Institutions	hkma_ais.xls
finance_insurance	licensed_bank	BANQUE PICTET & CIE SA	group.pictet	HKMA Register of Authorized Institutions	hkma_ais.xls
finance_insurance	licensed_bank	BARCLAYS BANK PLC	barclays.com	HKMA Register of Authorized Institutions	hkma_ais.xls
finance_insurance	licensed_bank	BDO UNIBANK, INC.	bdo.com.ph	HKMA Register of Authorized Institutions	hkma_ais.xls
finance_insurance	licensed_bank	BNP PARIBAS	bnpparibas.com.hk	HKMA Register of Authorized Institutions	hkma_ais.xls
finance_insurance	licensed_bank	CA INDOSUEZ (SWITZERLAND) SA	ca-indosuez.com	HKMA Register of Authorized Institutions	hkma_ais.xls
finance_insurance	licensed_bank	CANADIAN IMPERIAL BANK OF COMMERCE		HKMA Register of Authorized Institutions	hkma_ais.xls
finance_insurance	licensed_bank	CATHAY BANK	cathaybank.com	HKMA Register of Authorized Institutions	hkma_ais.xls
finance_insurance	licensed_bank	CATHAY UNITED BANK COMPANY, LIMITED	cathaybk.com.tw	HKMA Register of Authorized Institutions	hkma_ais.xls
finance_insurance	licensed_bank	CHANG HWA COMMERCIAL BANK, LTD.	chbebank.com	HKMA Register of Authorized Institutions	hkma_ais.xls
finance_insurance	licensed_bank	CHIBA BANK, LTD. (THE)		HKMA Register of Authorized Institutions	hkma_ais.xls
finance_insurance	licensed_bank	CHINA BOHAI BANK CO., LTD.	cbhb.com.cn	HKMA Register of Authorized Institutions	hkma_ais.xls
finance_insurance	licensed_bank	CHINA CITIC BANK CORPORATION LIMITED	citicbank.com	HKMA Register of Authorized Institutions	hkma_ais.xls
finance_insurance	licensed_bank	CHINA CITIC BANK INTERNATIONAL LIMITED	cncbinternational.com	HKMA Register of Authorized Institutions	hkma_ais.xls
finance_insurance	licensed_bank	CHINA CONSTRUCTION BANK (ASIA) CORPORATION LIMITED	asia.ccb.com	HKMA Register of Authorized Institutions	hkma_ais.xls
finance_insurance	licensed_bank	CHINA CONSTRUCTION BANK CORPORATION	hk.ccb.com	HKMA Register of Authorized Institutions	hkma_ais.xls
finance_insurance	licensed_bank	CHINA DEVELOPMENT BANK		HKMA Register of Authorized Institutions	hkma_ais.xls
finance_insurance	licensed_bank	CHINA EVERBRIGHT BANK CO., LTD.	hkg.cebbank.com	HKMA Register of Authorized Institutions	hkma_ais.xls
finance_insurance	licensed_bank	CHINA GUANGFA BANK CO., LTD.	cgbchina.hk.cn	HKMA Register of Authorized Institutions	hkma_ais.xls
finance_insurance	licensed_bank	CHINA MERCHANTS BANK CO., LTD.	hk.cmbchina.com	HKMA Register of Authorized Institutions	hkma_ais.xls
finance_insurance	licensed_bank	CHINA MINSHENG BANKING CORP., LTD.		HKMA Register of Authorized Institutions	hkma_ais.xls
finance_insurance	licensed_bank	CHINA ZHESHANG BANK CO., LTD.	hk.czbank.com	HKMA Register of Authorized Institutions	hkma_ais.xls
finance_insurance	licensed_bank	CHIYU BANKING CORPORATION LIMITED	chiyubank.com	HKMA Register of Authorized Institutions	hkma_ais.xls
finance_insurance	licensed_bank	CHONG HING BANK LIMITED	chbank.com	HKMA Register of Authorized Institutions	hkma_ais.xls
finance_insurance	licensed_bank	CHUGOKU BANK, LTD. (THE)		HKMA Register of Authorized Institutions	hkma_ais.xls
finance_insurance	licensed_bank	CIMB BANK BERHAD		HKMA Register of Authorized Institutions	hkma_ais.xls
finance_insurance	licensed_bank	CITIBANK (HONG KONG) LIMITED		HKMA Register of Authorized Institutions	hkma_ais.xls
finance_insurance	licensed_bank	CITIBANK, N.A.	citibank.com.hk	HKMA Register of Authorized Institutions	hkma_ais.xls
finance_insurance	licensed_bank	CMB WING LUNG BANK LIMITED	cmbwinglungbank.com	HKMA Register of Authorized Institutions	hkma_ais.xls
finance_insurance	licensed_bank	COMMONWEALTH BANK OF AUSTRALIA	commbank.com.au	HKMA Register of Authorized Institutions	hkma_ais.xls
finance_insurance	licensed_bank	COÖPERATIEVE RABOBANK U.A.	rabobank.com	HKMA Register of Authorized Institutions	hkma_ais.xls
finance_insurance	licensed_bank	CREDIT AGRICOLE CORPORATE AND INVESTMENT BANK	ca-cib.com	HKMA Register of Authorized Institutions	hkma_ais.xls
finance_insurance	licensed_bank	CREDIT INDUSTRIEL ET COMMERCIAL	www.cic.fr	HKMA Register of Authorized Institutions	hkma_ais.xls
finance_insurance	licensed_bank	CTBC BANK CO., LTD.	ctbcbank.com	HKMA Register of Authorized Institutions	hkma_ais.xls
finance_insurance	licensed_bank	DAH SING BANK, LIMITED	dahsing.com	HKMA Register of Authorized Institutions	hkma_ais.xls
finance_insurance	licensed_bank	DBS BANK (HONG KONG) LIMITED	dbs.com	HKMA Register of Authorized Institutions	hkma_ais.xls
finance_insurance	licensed_bank	DBS BANK LTD.		HKMA Register of Authorized Institutions	hkma_ais.xls
finance_insurance	licensed_bank	DEUTSCHE BANK AKTIENGESELLSCHAFT	db.com	HKMA Register of Authorized Institutions	hkma_ais.xls
finance_insurance	licensed_bank	DZ BANK AG DEUTSCHE ZENTRAL-GENOSSENSCHAFTSBANK, FRANKFURT AM MAIN	dzbank.de	HKMA Register of Authorized Institutions	hkma_ais.xls
