industry	category	name	domain	source	dataset
finance_insurance	pension_trustees	Bank Consortium Trust Company Limited	bcthk.com	MPFA Public Register - MPF Approved Trustees	merged.tsv | mpfa.tsv
finance_insurance	pension_trustees	BOCI-Prudential Trustee Limited	bocpt.com	MPFA Public Register - MPF Approved Trustees	merged.tsv | mpfa.tsv
finance_insurance	pension_trustees	Sun Life Trustee Company Limited	sunlife.com.hk	MPFA Public Register - MPF Approved Trustees	merged.tsv | mpfa.tsv
finance_insurance	pension_trustees	China Life Trustees Limited	chinalife.com.hk	MPFA Public Register - MPF Approved Trustees	merged.tsv | mpfa.tsv
finance_insurance	pension_trustees	Bank of East Asia (Trustees) Limited	hkbea.com	MPFA Public Register - MPF Approved Trustees	merged.tsv | mpfa.tsv
finance_insurance	pension_trustees	Bank of Communications Trustee Limited	bankcomm.hk	MPFA Public Register - MPF Approved Trustees	merged.tsv | mpfa.tsv
finance_insurance	pension_trustees	AIA Company (Trustee) Limited	aia.com.hk	MPFA Public Register - MPF Approved Trustees	merged.tsv | mpfa.tsv
finance_insurance	pension_trustees	Manulife Provident Funds Trust Company Limited	manulife.com.hk	MPFA Public Register - MPF Approved Trustees	merged.tsv | mpfa.tsv
finance_insurance	pension_trustees	HSBC Provident Fund Trustee (Hong Kong) Limited	hsbc.com.hk	MPFA Public Register - MPF Approved Trustees	merged.tsv | mpfa.tsv
finance_insurance	pension_trustees	Mandatory Provident Fund Schemes Authority	mpfa.org.hk	GovHK directory	all.tsv | merged.tsv
finance_insurance	pension_trustees	Principal Trust Company (Asia) Limited	principal.com.hk	MPFA Public Register - MPF Approved Trustees	merged.tsv | mpfa.tsv
finance_insurance	pension_trustees	YF Life Trustees Limited	yflife.com	MPFA Public Register - MPF Approved Trustees	merged.tsv | mpfa.tsv
