category	name	domain	source
banking_and_payment	Council for Accreditation of Academic & Vocational Qualifications, Hong Kong	hkcaavq.edu.hk	GovHK directory
banking_and_payment	Exchanges and Clearing Ltd., Hong Kong	hkex.com.hk	GovHK directory
banking_and_payment	Export Credit Insurance Corporation, Hong Kong	hkecic.com	GovHK directory
financial_alliance	Hong Kong Interbank Clearing Limited (HKICL)	hkicl.com.hk	Manual override
financial_alliance	Hong Kong Monetary Authority (HKMA)	hkma.gov.hk	Manual override
financial_alliance	The Hong Kong Association of Banks (HKAB)	hkab.org.hk	Manual override
hkfi_member_company	ABCI Insurance Company Limited	abci.com.hk	HKFI Member Companies
hkfi_member_company	AIG Insurance Hong Kong Limited	aig.com.hk	HKFI Member Companies
hkfi_member_company	AXA China Region Insurance Company (Bermuda) Limited	axa.com.hk	HKFI Member Companies
hkfi_member_company	Allianz Global Corporate & Specialty SE	agcs.allianz.com	HKFI Member Companies
hkfi_member_company	Allied World Assurance Company Limited	awac.com	HKFI Member Companies
hkfi_member_company	Arch MI Asia Limited	archmi.com	HKFI Member Companies
hkfi_member_company	Asia Insurance Company Limited	asiainsurance.com.hk	HKFI Member Companies
hkfi_member_company	Asia-Pacific Property & Casualty Insurance Co., Ltd. - Hong Kong Branch	apiins.com.hk	HKFI Member Companies
hkfi_member_company	Assicurazioni Generali S.p.A.	generali.com.hk	HKFI Member Companies
hkfi_member_company	Atradius Crédito y Caución S.A. de Seguros y Reaseguros	atradius.com.hk	HKFI Member Companies
hkfi_member_company	Avo Insurance Company Limited	heyavo.com	HKFI Member Companies
hkfi_member_company	BC Reinsurance Limited		HKFI Member Companies
hkfi_member_company	BE Reinsurance Limited		HKFI Member Companies
hkfi_member_company	Bank of China Group Insurance Company Limited	bocgins.com	HKFI Member Companies
hkfi_member_company	Berkley Insurance Company	berkleyasia.com	HKFI Member Companies
hkfi_member_company	Berkshire Hathaway Specialty Insurance Company	bhspecialty.com	HKFI Member Companies
hkfi_member_company	Blue Cross (Asia-Pacific) Insurance Limited	bluecross.com.hk	HKFI Member Companies
hkfi_member_company	Bolttech Insurance (Hong Kong) Company Limited	bolttechinsurance.hk	HKFI Member Companies
hkfi_member_company	Bupa (Asia) Limited	bupa.com.hk	HKFI Member Companies
hkfi_member_company	CIGNA Worldwide General Insurance Company Limited	cigna.com.hk	HKFI Member Companies
hkfi_member_company	CMB Wing Lung Insurance Company Limited	cmbwinglunginsurance.com	HKFI Member Companies
hkfi_member_company	California Insurance Company Limited	california.com.hk	HKFI Member Companies
hkfi_member_company	Chevalier Insurance Company Limited	chevalier-insurance.com	HKFI Member Companies
hkfi_member_company	China BOCOM Insurance Company Limited	cbic.hk	HKFI Member Companies
hkfi_member_company	China Overseas Insurance Limited	cohl.com	HKFI Member Companies
hkfi_member_company	China Pacific Insurance Company (Hong Kong) Limited	cpic.com.hk	HKFI Member Companies
hkfi_member_company	China Ping An Insurance (Hong Kong) Company Limited	pingan.com.hk	HKFI Member Companies
hkfi_member_company	China Taiping Insurance (HK) Company Limited	tpre.cntaiping.com	HKFI Member Companies
hkfi_member_company	Chong Hing Insurance Company Limited	chins.com.hk	HKFI Member Companies
hkfi_member_company	Chubb Insurance Hong Kong Limited	chubb.com	HKFI Member Companies
hkfi_member_company	Compagnie Francaise D'assurance Pour Le Commerce Exterieur, Branch In Hong Kong	coface.com.hk	HKFI Member Companies
hkfi_member_company	Concord Insurance Company Limited	concordinsurance.com.hk	HKFI Member Companies
hkfi_member_company	Dah Sing Insurance Company Limited	dahsinginsurance.com	HKFI Member Companies
hkfi_member_company	Euler Hermes	allianz-trade.com	HKFI Member Companies
hkfi_member_company	Factory Mutual Insurance Company	fm.com	HKFI Member Companies
hkfi_member_company	Falcon Insurance Company (Hong Kong) Limited	falconinsurance.com.hk	HKFI Member Companies
hkfi_member_company	First American Title Insurance Company		HKFI Member Companies
hkfi_member_company	FuSure Reinsurance Company Limited		HKFI Member Companies
hkfi_member_company	General Reinsurance AG	genre.com	HKFI Member Companies
hkfi_member_company	HDI Global SE	hdi.global	HKFI Member Companies
hkfi_member_company	HKMC Insurance Limited	hkmc.com.hk	HKFI Member Companies
hkfi_member_company	HSBC Insurance (Asia) Limited	insurance.asiapacific.hsbc.com	HKFI Member Companies
hkfi_member_company	Hong Leong Insurance (Asia) Limited	hl-insurance.com	HKFI Member Companies
hkfi_member_company	Liberty International Insurance Limited	libertyinsurance.com.hk	HKFI Member Companies
hkfi_member_company	Liberty Specialty Markets Hong Kong Limited	libertyspecialtymarkets.com.hk	HKFI Member Companies
hkfi_member_company	Lloyd's	lloyds.com	HKFI Member Companies
hkfi_member_company	MSIG Insurance (Hong Kong) Limited	msig.com.hk	HKFI Member Companies
hkfi_member_company	Min Xin Insurance Company Limited	mxic.com.hk	HKFI Member Companies
hkfi_member_company	Munich Reinsurance Company Hong Kong Branch		HKFI Member Companies
hkfi_member_company	OneDegree Hong Kong Limited	onedegree.hk	HKFI Member Companies
hkfi_member_company	Paofoong Insurance Company (Hong Kong) Limited		HKFI Member Companies
hkfi_member_company	Partner Reinsurance Europe SE	partnerre.com	HKFI Member Companies
hkfi_member_company	Peak Reinsurance Company Limited	peak-re.com	HKFI Member Companies
hkfi_member_company	Pioneer Insurance & Surety Corporation	pioneer.com.ph	HKFI Member Companies
hkfi_member_company	Prudential General Insurance Hong Kong Limited	prudential.com.hk	HKFI Member Companies
hkfi_member_company	QBE Hongkong & Shanghai Insurance Limited	qbe.com	HKFI Member Companies
hkfi_member_company	SCOR Reinsurance Company (Asia) Limited	scor.com	HKFI Member Companies
hkfi_member_company	Sompo Insurance (Hong Kong) Co. Ltd.	sompo.com.hk	HKFI Member Companies
hkfi_member_company	Starr International Insurance (Asia) Limited	starrcompanies.com	HKFI Member Companies
hkfi_member_company	Sun Hung Kai Properties Insurance Limited	shkpi.com.hk	HKFI Member Companies
hkfi_member_company	Swiss Re International SE, Hong Kong Branch	corporatesolutions.swissre.com	HKFI Member Companies
hkfi_member_company	TT Club Mutual Insurance Limited	ttclub.com	HKFI Member Companies
hkfi_member_company	The Pacific Insurance Company, Limited	pacificinsurance.com.hk	HKFI Member Companies
hkfi_member_company	The People's Insurance Company of China (Hong Kong) Limited	picchk.com	HKFI Member Companies
hkfi_member_company	The Shipowners' Mutual Protection and Indemnity Association (Luxembourg)	shipownersclub.com	HKFI Member Companies
hkfi_member_company	The Sincere Insurance and Investment Company Limited		HKFI Member Companies
hkfi_member_company	The Toa Reinsurance Company Limited	toare.co.jp	HKFI Member Companies
hkfi_member_company	The United Kingdom Mutual Steam Ship Assurance Association Limited	ukpandi.com	HKFI Member Companies
hkfi_member_company	Tokio Marine and Fire Insurance Company (Hong Kong) Limited - The	tokiomarine.com.hk	HKFI Member Companies
hkfi_member_company	Transatlantic Reinsurance Company	transre.com	HKFI Member Companies
hkfi_member_company	Trinity General Insurance Company Limited	tgi.com.hk	HKFI Member Companies
hkfi_member_company	Tugu Insurance Company Limited	tuguhk.com	HKFI Member Companies
hkfi_member_company	United Builders Insurance Company Limited		HKFI Member Companies
hkfi_member_company	Well Link General Insurance Company Limited	wli.com.hk	HKFI Member Companies
hkfi_member_company	XL Insurance Company SE	axaxl.com	HKFI Member Companies
hkfi_member_company	Zurich Insurance Company Ltd	zurich.com.hk	HKFI Member Companies
hkicl_fps_participant	Airstar Bank Limited	airstarbank.com	HKICL FPS participant page
hkicl_fps_participant	Alipay Financial Services (HK) Limited	alipayhk.com	HKICL FPS participant page
hkicl_fps_participant	Ant Bank (Hong Kong) Limited	antbank.hk	HKICL FPS participant page
hkicl_fps_participant	Bank of China (Hong Kong) Limited	bochk.com	HKICL FPS participant page
hkicl_fps_participant	Bank of Communications Co., Ltd. Hong Kong Branch	hk.bankcomm.com	HKICL FPS participant page
