category	name	domain	source
healthcare	Auxiliary Medical Service	ams.gov.hk	GovHK directory (keyword match)
healthcare	Health, Department of	dh.gov.hk	GovHK directory (keyword match)
healthcare	Food and Environmental Hygiene Department	fehd.gov.hk	GovHK directory (keyword match)
healthcare	Hospital Authority	ha.org.hk	GovHK directory (keyword match)
healthcare	Health Bureau	healthbureau.gov.hk	GovHK directory (keyword match)
healthcare	Independent Commission Against Corruption	icac.org.hk	GovHK directory (keyword match)
healthcare	Independent Police Complaints Council	ipcc.gov.hk	GovHK directory (keyword match)
healthcare	Mandatory Provident Fund Schemes Authority	mpfa.org.hk	GovHK directory (keyword match)
healthcare	Occupational Safety and Health Council	oshc.org.hk	GovHK directory (keyword match)
healthcare	Council on Smoking and Health, Hong Kong	smokefree.hk	GovHK directory (keyword match)
healthcare	Working Family and Student Financial Assistance Agency	wfsfaa.gov.hk	GovHK directory (keyword match)
