industry	category	name	domain	source	dataset
healthcare_social	ngo_hkcss_ctgoodjobs	Chung Sing Church Limited - Chung Sing Church Bradbury Social Service Centre	-	HKCSS x CTgoodjobs NGO Organisations	ngo.tsv
healthcare_social	ngo_hkcss_ctgoodjobs	1st Step Association Limited	1stephk.org	HKCSS x CTgoodjobs NGO Organisations	ngo.tsv
healthcare_social	ngo_hkcss_ctgoodjobs	Hong Kong Association of Workers Serving Persons with Intellectual Disabilities Limited	27.6	HKCSS x CTgoodjobs NGO Organisations	ngo.tsv
healthcare_social	ngo_hkcss_ctgoodjobs	Direction Association for the Handicapped	4limb.org	HKCSS x CTgoodjobs NGO Organisations	ngo.tsv
healthcare_social	ngo_hkcss_ctgoodjobs	Direction Association for the Handicapped	4limbse.org	HKCSS x CTgoodjobs NGO Organisations	ngo.tsv
healthcare_social	ngo_hkcss_ctgoodjobs	Association for the Advancement of Feminism	aaf.org.hk	HKCSS x CTgoodjobs NGO Organisations	ngo.tsv
healthcare_social	ngo_hkcss_ctgoodjobs	The ABM Hong Kong Swatow Baptist Church Community Service Association	abmsbc.org.hk	HKCSS x CTgoodjobs NGO Organisations	ngo.tsv
healthcare_social	ngo_hkcss_ctgoodjobs	Hong Kong ABWE Social Services	abwe.org.hk	HKCSS x CTgoodjobs NGO Organisations	ngo.tsv
healthcare_social	ngo_hkcss_ctgoodjobs	Against Child Abuse Limited	aca.org.hk	HKCSS x CTgoodjobs NGO Organisations	ngo.tsv
healthcare_social	ngo_hkcss_ctgoodjobs	Act Plus Education Foundation Limited	actplus.hk	HKCSS x CTgoodjobs NGO Organisations	ngo.tsv
healthcare_social	ngo_hkcss_ctgoodjobs	Arts with the Disabled Association Hong Kong	adahk.org.hk	HKCSS x CTgoodjobs NGO Organisations	ngo.tsv
healthcare_social	ngo_hkcss_ctgoodjobs	Hong Kong Association for AD/HD Limited	adhd.org.hk	HKCSS x CTgoodjobs NGO Organisations	ngo.tsv
healthcare_social	ngo_hkcss_ctgoodjobs	Adventure-Ship Limited	adventureship.org.hk	HKCSS x CTgoodjobs NGO Organisations	ngo.tsv
healthcare_social	ngo_hkcss_ctgoodjobs	Alliance of Ex-Mentally Ill of Hong Kong	aemi-hk.org	HKCSS x CTgoodjobs NGO Organisations	ngo.tsv
healthcare_social	ngo_hkcss_ctgoodjobs	Apostolic Faith Church of Hong Kong Limited	afcc.org.hk	HKCSS x CTgoodjobs NGO Organisations	ngo.tsv
healthcare_social	ngo_hkcss_ctgoodjobs	Action For REACH OUT	afro.org.hk	HKCSS x CTgoodjobs NGO Organisations	ngo.tsv
healthcare_social	ngo_hkcss_ctgoodjobs	AFS Intercultural Exchanges Limited	afs.hk	HKCSS x CTgoodjobs NGO Organisations	ngo.tsv
healthcare_social	ngo_hkcss_ctgoodjobs	AFS Intercultural Exchanges Limited	afs.org	HKCSS x CTgoodjobs NGO Organisations	ngo.tsv
healthcare_social	ngo_hkcss_ctgoodjobs	Agent of Change Foundation Limited	agentofchange.hk	HKCSS x CTgoodjobs NGO Organisations	ngo.tsv
healthcare_social	ngo_hkcss_ctgoodjobs	Hong Kong AIDS Foundation Limited	aids.org.hk	HKCSS x CTgoodjobs NGO Organisations	ngo.tsv
healthcare_social	ngo_hkcss_ctgoodjobs	The Society for AIDS Care Limited	aidscare.com.hk	HKCSS x CTgoodjobs NGO Organisations	ngo.tsv
healthcare_social	ngo_hkcss_ctgoodjobs	AIDS Concern Foundation Limited	aidsconcern.org.hk	HKCSS x CTgoodjobs NGO Organisations	ngo.tsv
healthcare_social	ngo_hkcss_ctgoodjobs	Hong Kong Air Cadet Corps	aircadets.org.hk	HKCSS x CTgoodjobs NGO Organisations	ngo.tsv
healthcare_social	ngo_hkcss_ctgoodjobs	Aberdeen Kai-Fong Welfare Association Social Service Centre	aka.org.hk	HKCSS x CTgoodjobs NGO Organisations	ngo.tsv
healthcare_social	ngo_hkcss_ctgoodjobs	Akinalliance	akinalliance.org	HKCSS x CTgoodjobs NGO Organisations	ngo.tsv
healthcare_social	ngo_hkcss_ctgoodjobs	Amity Foundation, Hong Kong	amityfoundation.org	HKCSS x CTgoodjobs NGO Organisations	ngo.tsv
healthcare_social	ngo_hkcss_ctgoodjobs	Asbury Methodist Social Service	amss.org.hk	HKCSS x CTgoodjobs NGO Organisations	ngo.tsv
healthcare_social	ngo_hkcss_ctgoodjobs	Amity Mutual Support Society	amss1996.org.hk	HKCSS x CTgoodjobs NGO Organisations	ngo.tsv
healthcare_social	ngo_hkcss_ctgoodjobs	AnAn International Education Foundation Hong Kong (Charity) Limited	ananedu.org.hk	HKCSS x CTgoodjobs NGO Organisations	ngo.tsv
healthcare_social	ngo_hkcss_ctgoodjobs	Animals Asia Foundation Limited	animalsasia.org	HKCSS x CTgoodjobs NGO Organisations	ngo.tsv
healthcare_social	ngo_hkcss_ctgoodjobs	Hong Kong Tuberculosis, Chest and Heart Diseases Association	antitb.org.hk	HKCSS x CTgoodjobs NGO Organisations	ngo.tsv
healthcare_social	ngo_hkcss_ctgoodjobs	Assembly of God Grace Light Church, Limited Social Services Department	aogglcssd.org	HKCSS x CTgoodjobs NGO Organisations	ngo.tsv
healthcare_social	ngo_hkcss_ctgoodjobs	Asian Outreach Hong Kong Limited	aohk.org	HKCSS x CTgoodjobs NGO Organisations	ngo.tsv
healthcare_social	ngo_hkcss_ctgoodjobs	Autism Partnership Foundation Limited	apf.org.hk	HKCSS x CTgoodjobs NGO Organisations	ngo.tsv
healthcare_social	ngo_hkcss_ctgoodjobs	Association for the Rights of Industrial Accident Victims Limited	ariav.org.hk	HKCSS x CTgoodjobs NGO Organisations	ngo.tsv
healthcare_social	ngo_hkcss_ctgoodjobs	Alliance for Renal Patients Mutual Help Association	arpmha.org.hk	HKCSS x CTgoodjobs NGO Organisations	ngo.tsv
healthcare_social	ngo_hkcss_ctgoodjobs	Asbury Methodist Social Service	asbury.org.hk	HKCSS x CTgoodjobs NGO Organisations	ngo.tsv
healthcare_social	ngo_hkcss_ctgoodjobs	Alliance of Self Help Groups for the Occupational Injuries and Diseases	asgoid.org.hk	HKCSS x CTgoodjobs NGO Organisations	ngo.tsv
healthcare_social	ngo_hkcss_ctgoodjobs	Hong Kong Association for Specific Learning Disabilities	asld.org.hk	HKCSS x CTgoodjobs NGO Organisations	ngo.tsv
