category	name	domain	source
insurance	泰加保險有限公司 (在清盤中)	6161.com.hk	Derived from financial.tsv (GovHK insurance + IA + HKFI)
insurance	ABCI Insurance Company Limited	abci.com.hk	Derived from financial.tsv (GovHK insurance + IA + HKFI)
insurance	農銀國際保險有限公司	abci.net.cn	Derived from financial.tsv (GovHK insurance + IA + HKFI)
insurance	友邦保險(國際)有限公司	aia.com.hk	Derived from financial.tsv (GovHK insurance + IA + HKFI)
insurance	AIG Insurance Hong Kong Limited	aig.com.hk	Derived from financial.tsv (GovHK insurance + IA + HKFI)
insurance	Euler Hermes	allianz-trade.com	Derived from financial.tsv (GovHK insurance + IA + HKFI)
insurance	Allianz Global Corporate & Specialty SE	allianz.com	Derived from financial.tsv (GovHK insurance + IA + HKFI)
insurance	Asia-Pacific Property & Casualty Insurance Co., Ltd. - Hong Kong Branch	apiins.com.hk	Derived from financial.tsv (GovHK insurance + IA + HKFI)
insurance	Arch MI Asia Limited	archmi.com	Derived from financial.tsv (GovHK insurance + IA + HKFI)
insurance	Asia Insurance Company Limited	asiainsurance.com.hk	Derived from financial.tsv (GovHK insurance + IA + HKFI)
insurance	Atradius Crédito y Caución S.A. de Seguros y Reaseguros	atradius.com.hk	Derived from financial.tsv (GovHK insurance + IA + HKFI)
insurance	Allied World Assurance Company Limited	awac.com	Derived from financial.tsv (GovHK insurance + IA + HKFI)
insurance	AXA China Region Insurance Company (Bermuda) Limited	axa.com.hk	Derived from financial.tsv (GovHK insurance + IA + HKFI)
insurance	XL Insurance Company SE	axaxl.com	Derived from financial.tsv (GovHK insurance + IA + HKFI)
insurance	Berkley Insurance Company	berkleyasia.com	Derived from financial.tsv (GovHK insurance + IA + HKFI)
insurance	Berkshire Hathaway Specialty Insurance Company	bhspecialty.com	Derived from financial.tsv (GovHK insurance + IA + HKFI)
insurance	微藍保險有限公司	blue.com.hk	Derived from financial.tsv (GovHK insurance + IA + HKFI)
insurance	Blue Cross (Asia-Pacific) Insurance Limited	bluecross.com.hk	Derived from financial.tsv (GovHK insurance + IA + HKFI)
insurance	Bank of China Group Insurance Company Limited	bocgins.com	Derived from financial.tsv (GovHK insurance + IA + HKFI)
insurance	中銀集團人壽保險有限公司	boclife.com.hk	Derived from financial.tsv (GovHK insurance + IA + HKFI)
