category	name	domain	source
hkex_listed_issuer	1957 & Co. (Hospitality) Limited	1957.com.hk	HKEX Hyperlinks to Listed Co. (XLSX)
hkex_listed_issuer	360 魯大師控股有限公司	ludashi.com	HKEX Hyperlinks to Listed Co. (XLSX)
hkex_listed_issuer	361度國際有限公司	361sport.com	HKEX Hyperlinks to Listed Co. (XLSX)
hkex_listed_issuer	5100藏冰川有限公司	twr1115.net	HKEX Hyperlinks to Listed Co. (XLSX)
hkex_listed_issuer	AEON信貸財務(亞洲)有限公司	aeon.com.hk	HKEX Hyperlinks to Listed Co. (XLSX)
hkex_listed_issuer	ASMPT Limited	asmpt.com	HKEX Hyperlinks to Listed Co. (XLSX)
hkex_listed_issuer	AV策劃推廣(控股)有限公司	avpromotions.com	HKEX Hyperlinks to Listed Co. (XLSX)
hkex_listed_issuer	Apollo智慧出行集團有限公司	apollofmg.com	HKEX Hyperlinks to Listed Co. (XLSX)
hkex_listed_issuer	Atlinks Group Limited	atlinks.com	HKEX Hyperlinks to Listed Co. (XLSX)
hkex_listed_issuer	BHCC Holding Limited	bhcc.com.sg	HKEX Hyperlinks to Listed Co. (XLSX)
hkex_listed_issuer	Beng Soon Machinery Holdings Limited	bsm.com.sg	HKEX Hyperlinks to Listed Co. (XLSX)
hkex_listed_issuer	C-Link Squared Limited	clinksquared.com	HKEX Hyperlinks to Listed Co. (XLSX)
hkex_listed_issuer	CAI控股	cai-corp.com	HKEX Hyperlinks to Listed Co. (XLSX)
hkex_listed_issuer	CEC 國際控股有限公司	0759.com	HKEX Hyperlinks to Listed Co. (XLSX)
hkex_listed_issuer	CMON Limited	cmon.com	HKEX Hyperlinks to Listed Co. (XLSX)
hkex_listed_issuer	CTR Holdings Limited	chianteck.com	HKEX Hyperlinks to Listed Co. (XLSX)
hkex_listed_issuer	CWT International Limited	cwtinternational.com	HKEX Hyperlinks to Listed Co. (XLSX)
hkex_listed_issuer	China Gas Industry Investment Holdings Co. Ltd.	cgiihldgs.com	HKEX Hyperlinks to Listed Co. (XLSX)
hkex_listed_issuer	China New Energy Limited	zkty.com.cn	HKEX Hyperlinks to Listed Co. (XLSX)
hkex_listed_issuer	Classified Group (Holdings) Limited	classifiedgroup.com.hk	HKEX Hyperlinks to Listed Co. (XLSX)
hkex_listed_issuer	Cool Link (Holdings) Limited	coollink.com.sg	HKEX Hyperlinks to Listed Co. (XLSX)
hkex_listed_issuer	DYNAM JAPAN HOLDINGS Co., Ltd.	co.jp	HKEX Hyperlinks to Listed Co. (XLSX)
hkex_listed_issuer	ECI Technology Holdings Limited	ecinfohk.com	HKEX Hyperlinks to Listed Co. (XLSX)
hkex_listed_issuer	EDA集團控股有限公司	edayun.cn	HKEX Hyperlinks to Listed Co. (XLSX)
hkex_listed_issuer	EPS創健科技集團有限公司	epshk.hk	HKEX Hyperlinks to Listed Co. (XLSX)
hkex_listed_issuer	F8 企業(控股)集團有限公司	f8.com.hk	HKEX Hyperlinks to Listed Co. (XLSX)
hkex_listed_issuer	FSM Holdings Limited	fsmtech.com	HKEX Hyperlinks to Listed Co. (XLSX)
hkex_listed_issuer	G.A. 控股有限公司	ga-holdings.com.hk	HKEX Hyperlinks to Listed Co. (XLSX)
hkex_listed_issuer	GBA集團有限公司	gbaholdings.com	HKEX Hyperlinks to Listed Co. (XLSX)
hkex_listed_issuer	GC Construction Holdings Limited	chankiu.hk	HKEX Hyperlinks to Listed Co. (XLSX)
hkex_listed_issuer	GHW International	goldenhighway.com	HKEX Hyperlinks to Listed Co. (XLSX)
hkex_listed_issuer	Guanze Medical Information Industry (Holding) Co., Ltd.	guanzegroup.com	HKEX Hyperlinks to Listed Co. (XLSX)
hkex_listed_issuer	HKE Holdings Limited	hke.holdings	HKEX Hyperlinks to Listed Co. (XLSX)
hkex_listed_issuer	HM International Holdings Limited	hetermedia.com	HKEX Hyperlinks to Listed Co. (XLSX)
hkex_listed_issuer	HPC Holdings Limited	hpc.sg	HKEX Hyperlinks to Listed Co. (XLSX)
hkex_listed_issuer	HashKey Holdings Limited	hashkey.com	HKEX Hyperlinks to Listed Co. (XLSX)
hkex_listed_issuer	Home Control International Limited	omniremotes.com	HKEX Hyperlinks to Listed Co. (XLSX)
hkex_listed_issuer	Horizon Robotics	horizon.cc	HKEX Hyperlinks to Listed Co. (XLSX)
hkex_listed_issuer	Hygieia Group Limited	hygieiagroup.com	HKEX Hyperlinks to Listed Co. (XLSX)
hkex_listed_issuer	Hypebeast Limited	hypebeast.com	HKEX Hyperlinks to Listed Co. (XLSX)
hkex_listed_issuer	IBI Group Holdings Limited	ibi.com.hk	HKEX Hyperlinks to Listed Co. (XLSX)
hkex_listed_issuer	IFBH Limited	iffamily.com	HKEX Hyperlinks to Listed Co. (XLSX)
hkex_listed_issuer	IGG Inc	igg.com	HKEX Hyperlinks to Listed Co. (XLSX)
hkex_listed_issuer	IMAX China Holding, Inc.	imax.cn	HKEX Hyperlinks to Listed Co. (XLSX)
hkex_listed_issuer	ISP Global Limited	ispg.hk	HKEX Hyperlinks to Listed Co. (XLSX)
hkex_listed_issuer	ITE (Holdings) Limited	hkite.com	HKEX Hyperlinks to Listed Co. (XLSX)
hkex_listed_issuer	International Genius Company	geniusi.com	HKEX Hyperlinks to Listed Co. (XLSX)
hkex_listed_issuer	JBB Builders International Limited	jbb.com.my	HKEX Hyperlinks to Listed Co. (XLSX)
hkex_listed_issuer	JS 環球生活有限公司	jsgloballife.com	HKEX Hyperlinks to Listed Co. (XLSX)
hkex_listed_issuer	K Cash集團有限公司	kcash.hk	HKEX Hyperlinks to Listed Co. (XLSX)
hkex_listed_issuer	K W Nelson Interior Design and Contracting Group Limited	kwnelson.com.hk	HKEX Hyperlinks to Listed Co. (XLSX)
hkex_listed_issuer	K2 F&B Holdings Limited	fuchangroup.com	HKEX Hyperlinks to Listed Co. (XLSX)
hkex_listed_issuer	KFM金德控股有限公司	kingdom.com.hk	HKEX Hyperlinks to Listed Co. (XLSX)
hkex_listed_issuer	KLN Logistics Group Limited	kln.com	HKEX Hyperlinks to Listed Co. (XLSX)
hkex_listed_issuer	Keep Inc.	keep.com	HKEX Hyperlinks to Listed Co. (XLSX)
hkex_listed_issuer	Kintor Pharmaceutical Limited	kintor.com.cn	HKEX Hyperlinks to Listed Co. (XLSX)
hkex_listed_issuer	LFG 投資控股有限公司	legogroup.hk	HKEX Hyperlinks to Listed Co. (XLSX)
hkex_listed_issuer	Legion Consortium Limited	legionconsortium.com	HKEX Hyperlinks to Listed Co. (XLSX)
hkex_listed_issuer	Long 投資集團	longcorp.com	HKEX Hyperlinks to Listed Co. (XLSX)
hkex_listed_issuer	MI 能源控股有限公司	mienergy.com.cn	HKEX Hyperlinks to Listed Co. (XLSX)
hkex_listed_issuer	MOS House Group Limited	moshouse.com.hk	HKEX Hyperlinks to Listed Co. (XLSX)
hkex_listed_issuer	MS Concept Limited	mrsteak.com.hk	HKEX Hyperlinks to Listed Co. (XLSX)
hkex_listed_issuer	MetaLight Inc.	metalight.com.cn	HKEX Hyperlinks to Listed Co. (XLSX)
hkex_listed_issuer	Metropolis Capital Holdings Limited	metropolis-leasing.com	HKEX Hyperlinks to Listed Co. (XLSX)
hkex_listed_issuer	MiniMax Group Inc.	minimaxi.com	HKEX Hyperlinks to Listed Co. (XLSX)
hkex_listed_issuer	Mirxes Holding Company Limited	mirxes.com	HKEX Hyperlinks to Listed Co. (XLSX)
hkex_listed_issuer	Mongolian Mining Corporation	mmc.mn	HKEX Hyperlinks to Listed Co. (XLSX)
hkex_listed_issuer	NIU Holdings Limited	wcce.hk	HKEX Hyperlinks to Listed Co. (XLSX)
hkex_listed_issuer	Nexion Technologies Limited	nexion.com.hk	HKEX Hyperlinks to Listed Co. (XLSX)
hkex_listed_issuer	Niraku GC Holdings, Inc.	co.jp	HKEX Hyperlinks to Listed Co. (XLSX)
hkex_listed_issuer	OSL集團有限公司	osl.com	HKEX Hyperlinks to Listed Co. (XLSX)
hkex_listed_issuer	Ocumension Therapeutics	ocumension.com	HKEX Hyperlinks to Listed Co. (XLSX)
hkex_listed_issuer	Okura Holdings Limited	okura-holdings.com	HKEX Hyperlinks to Listed Co. (XLSX)
hkex_listed_issuer	PRADA S.p.A.	pradagroup.com	HKEX Hyperlinks to Listed Co. (XLSX)
hkex_listed_issuer	Pacific Legend Group Limited	pacificlegendgroup.com	HKEX Hyperlinks to Listed Co. (XLSX)
hkex_listed_issuer	Paladin Limited	paladin495.com	HKEX Hyperlinks to Listed Co. (XLSX)
hkex_listed_issuer	REF Holdings Limited	ref.com.hk	HKEX Hyperlinks to Listed Co. (XLSX)
hkex_listed_issuer	Raffles Interior Limited	rafflesinterior.com	HKEX Hyperlinks to Listed Co. (XLSX)
