category	name	domain	source
mpfa_mpf_approved_trustee	AIA Company (Trustee) Limited	aia.com.hk	MPFA Public Register - MPF Approved Trustees
mpfa_mpf_approved_trustee	Bank Consortium Trust Company Limited	bcthk.com	MPFA Public Register - MPF Approved Trustees
mpfa_mpf_approved_trustee	Bank of Communications Trustee Limited	bocomtrust.com.hk	MPFA Public Register - MPF Approved Trustees
mpfa_mpf_approved_trustee	BOCI-Prudential Trustee Limited	bocpt.com	MPFA Public Register - MPF Approved Trustees
mpfa_mpf_approved_trustee	China Life Trustees Limited	chinalife.com.hk	MPFA Public Register - MPF Approved Trustees
mpfa_mpf_approved_trustee	Bank of East Asia (Trustees) Limited	hkbea.com	MPFA Public Register - MPF Approved Trustees
mpfa_mpf_approved_trustee	HSBC Provident Fund Trustee (Hong Kong) Limited	hsbc.com.hk	MPFA Public Register - MPF Approved Trustees
mpfa_mpf_approved_trustee	Manulife Provident Funds Trust Company Limited	manulife.com.hk	MPFA Public Register - MPF Approved Trustees
mpfa_mpf_approved_trustee	Principal Trust Company (Asia) Limited	principal.com.hk	MPFA Public Register - MPF Approved Trustees
mpfa_mpf_approved_trustee	Sun Life Trustee Company Limited	sunlife.com.hk	MPFA Public Register - MPF Approved Trustees
mpfa_mpf_approved_trustee	YF Life Trustees Limited	yflife.com	MPFA Public Register - MPF Approved Trustees
