category	name	domain	source
payment-fps	Airstar Bank Limited	airstarbank.com	Derived from financial.tsv (hkicl_fps_participant)
payment-fps	Alipay Financial Services (HK) Limited	alipayhk.com	Derived from financial.tsv (hkicl_fps_participant)
payment-fps	Ant Bank (Hong Kong) Limited	antbank.hk	Derived from financial.tsv (hkicl_fps_participant)
payment-fps	China Construction Bank Corporation, Hong Kong Branch	asia.ccb.com	Derived from financial.tsv (hkicl_fps_participant)
payment-fps	ZA Bank Limited	bank.za.group	Derived from financial.tsv (hkicl_fps_participant)
payment-fps	Bank of China (Hong Kong) Limited	bochk.com	Derived from financial.tsv (hkicl_fps_participant)
payment-fps	Chong Hing Bank Limited	chbank.com	Derived from financial.tsv (hkicl_fps_participant)
payment-fps	Chiyu Banking Corporation Limited	chiyubank.com	Derived from financial.tsv (hkicl_fps_participant)
payment-fps	Citibank (Hong Kong) Limited	citibank.com.hk	Derived from financial.tsv (hkicl_fps_participant)
payment-fps	CMB Wing Lung Bank Limited	cmbwinglungbank.com	Derived from financial.tsv (hkicl_fps_participant)
payment-fps	China Citic Bank International Limited	cncbinternational.com	Derived from financial.tsv (hkicl_fps_participant)
payment-fps	Dah Sing Bank, Limited	dahsing.com	Derived from financial.tsv (hkicl_fps_participant)
payment-fps	DBS Bank Ltd., Hong Kong Branch	dbs.com.hk	Derived from financial.tsv (hkicl_fps_participant)
payment-fps	Fubon Bank (Hong Kong) Limited	fubonbank.com.hk	Derived from financial.tsv (hkicl_fps_participant)
payment-fps	Fusion Bank Limited	fusionbank.com	Derived from financial.tsv (hkicl_fps_participant)
payment-fps	ePaylinks Technology Co., Limited	globalcash.hk	Derived from financial.tsv (hkicl_fps_participant)
payment-fps	DBS Bank (Hong Kong) Limited	go.dbs.com	Derived from financial.tsv (hkicl_fps_participant)
payment-fps	Hang Seng Bank, Limited	hangseng.com	Derived from financial.tsv (hkicl_fps_participant)
payment-fps	Bank of Communications Co., Ltd. Hong Kong Branch	hk.bankcomm.com	Derived from financial.tsv (hkicl_fps_participant)
payment-fps	China Merchants Bank Co. Ltd. Hong Kong Branch	hk.cmbchina.com	Derived from financial.tsv (hkicl_fps_participant)
payment-fps	The Hong Kong Association of Banks (HKAB)	hkab.org.hk	Derived from financial.tsv (hkicl_fps_participant)
payment-fps	Bank of East Asia, Limited (The)	hkbea.com	Derived from financial.tsv (hkicl_fps_participant)
payment-fps	China Minsheng Banking Corp., Ltd. Hong Kong Branch	hkbig5.cmbc.com.cn	Derived from financial.tsv (hkicl_fps_participant)
payment-fps	Hong Kong Interbank Clearing Limited (HKICL)	hkicl.com.hk	Derived from financial.tsv (hkicl_fps_participant)
payment-fps	Hong Kong Monetary Authority (HKMA)	hkma.gov.hk	Derived from financial.tsv (hkicl_fps_participant)
payment-fps	Industrial and Commercial Bank of China (Asia) Limited	icbcasia.com	Derived from financial.tsv (hkicl_fps_participant)
payment-fps	Livi Bank Limited	livibank.com	Derived from financial.tsv (hkicl_fps_participant)
payment-fps	Mox Bank Limited	mox.com	Derived from financial.tsv (hkicl_fps_participant)
payment-fps	Nanyang Commercial Bank, Limited	ncb.com.hk	Derived from financial.tsv (hkicl_fps_participant)
payment-fps	OCBC Bank (Hong Kong) Limited	ocbc.com.hk	Derived from financial.tsv (hkicl_fps_participant)
payment-fps	Octopus Cards Limited	octopus.com.hk	Derived from financial.tsv (hkicl_fps_participant)
payment-fps	WeChat Pay Hong Kong Limited	pay.wechat.com	Derived from financial.tsv (hkicl_fps_participant)
payment-fps	HongKong and Shanghai Banking Corporation Limited (The)	payme.hsbc.com.hk	Derived from financial.tsv (hkicl_fps_participant)
payment-fps	Standard Chartered Bank (Hong Kong) Limited	sc.com	Derived from financial.tsv (hkicl_fps_participant)
payment-fps	Shanghai Commercial Bank Limited	shacombank.com.hk	Derived from financial.tsv (hkicl_fps_participant)
payment-fps	United Overseas Bank Limited	uobgroup.com	Derived from financial.tsv (hkicl_fps_participant)
payment-fps	WeLab Bank Limited	welab.bank	Derived from financial.tsv (hkicl_fps_participant)
