industry	category	name	domain	source	dataset
transportation_storage	logistics_haffa_member	ASIA AIRFREIGHT SERVICES LIMITED	aat.com.hk	HAFFA Member's Directory	haffa.tsv
transportation_storage	logistics_haffa_member	ACE PROTRANS FORWARDING LIMITED	aceprotrans.com	HAFFA Member's Directory	haffa.tsv
transportation_storage	logistics_haffa_member	ANDASHUN GLOBAL SUPPLY CHAIN (HK) LTD	ads-logistics.com	HAFFA Member's Directory	haffa.tsv
transportation_storage	logistics_haffa_member	AE CARGO SERVICES LIMITED	aecargo.com	HAFFA Member's Directory	haffa.tsv
transportation_storage	logistics_haffa_member	AEL-BERKMAN FORWARDING (HK) LIMITED	aelbkm.com	HAFFA Member's Directory	haffa.tsv
transportation_storage	logistics_haffa_member	AIRPORT FREIGHT FORWARDING CENTRE COMPANY LIMITED	affc.com.hk	HAFFA Member's Directory	haffa.tsv
transportation_storage	logistics_haffa_member	ANGIE EXPRESS LIMITED	agel.com.hk	HAFFA Member's Directory	haffa.tsv
transportation_storage	logistics_haffa_member	AGS LOGISTICS LIMITED	ags.hk	HAFFA Member's Directory	haffa.tsv
transportation_storage	logistics_haffa_member	AHA LOGISTICS LIMITED	aha-logistics.com	HAFFA Member's Directory	haffa.tsv
transportation_storage	logistics_haffa_member	AIR CHARTER SERVICE (HK) LIMITED	aircharter.com.hk	HAFFA Member's Directory	haffa.tsv
transportation_storage	logistics_haffa_member	AIR-CITY CO LTD	aircity.com	HAFFA Member's Directory	haffa.tsv
transportation_storage	logistics_haffa_member	AIR SEA WORLDWIDE LOGISTICS LTD	airseaworldwide.com	HAFFA Member's Directory	haffa.tsv
transportation_storage	logistics_haffa_member	AIRSUPPLY INTERNATIONAL LOGISTICS GROUP LIMITED	airsupplycn.com	HAFFA Member's Directory	haffa.tsv
transportation_storage	logistics_haffa_member	AIRTACK FREIGHT LTD	airtack.com.hk	HAFFA Member's Directory	haffa.tsv
transportation_storage	logistics_haffa_member	AIR TIGER LOGISTICS (HK) LIMITED	airtiger.com	HAFFA Member's Directory	haffa.tsv
transportation_storage	logistics_haffa_member	AIRWAY EXPRESS (HONG KONG) LIMITED	airway.com.hk	HAFFA Member's Directory	haffa.tsv
transportation_storage	logistics_haffa_member	ALL-LINK AIR AND SEA COMPANY LIMITED	alllink-logistics.com	HAFFA Member's Directory	haffa.tsv
transportation_storage	logistics_haffa_member	ALLTRANS CARGO (HK) LIMITED	alltrans.com.hk	HAFFA Member's Directory	haffa.tsv
transportation_storage	logistics_haffa_member	ALPHA LOGISTICS (HK) LIMITED	alphalogisticshk.com	HAFFA Member's Directory	haffa.tsv
transportation_storage	logistics_haffa_member	AME TRANSPORT (H.K.) LIMITED	ametrans.com.hk	HAFFA Member's Directory	haffa.tsv
transportation_storage	logistics_haffa_member	ANDERSON GLOBAL LOGISTICS LIMITED	anderson-agl.com	HAFFA Member's Directory	haffa.tsv
transportation_storage	logistics_haffa_member	A & G LOGISTICS LIMITED	anghk.com	HAFFA Member's Directory	haffa.tsv
transportation_storage	logistics_haffa_member	CHEVALIER AOC FREIGHT EXPRESS HOLDINGS LIMITED	aochk.com	HAFFA Member's Directory	haffa.tsv
transportation_storage	logistics_haffa_member	AO FREIGHT (HK) LIMITED	aofreight.hk	HAFFA Member's Directory	haffa.tsv
transportation_storage	logistics_haffa_member	APC ASIA PACIFIC CARGO (H.K.) LIMITED	apclogistics.com	HAFFA Member's Directory	haffa.tsv
transportation_storage	logistics_haffa_member	APEX LOGISTICS INTERNATIONAL (HK) LIMITED	apexglobe.com	HAFFA Member's Directory	haffa.tsv
transportation_storage	logistics_haffa_member	ARAMEX HONG KONG, LIMITED	aramex.com	HAFFA Member's Directory	haffa.tsv
transportation_storage	logistics_haffa_member	ARGOS PACIFIC LOGISTICS LIMITED	argos-logistics.com	HAFFA Member's Directory	haffa.tsv
